adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/96chPcURxg5thGyLqxO6otyxHFR.jpg,"[28, 35, 12, 80]",1169516,Welcome to the Jungle,hi,Welcome to the Jungle,"A group of quirky characters gets stuck in a dangerous jungle during a chaotic mission. Filled with confusion, criminals, and hilarious situations, they must work together to survive and find their way out.",597.0734,/1JlfUuvvX5xLP2LIDah4JhWUtTx.jpg,2026-06-25,False,False,5.7,10
False,/6tROOVmV5vRymO2g52aR8kWlfoT.jpg,"[10749, 35]",1392469,Cocktail 2,hi,कॉकटेल २,"After a decade together, Diya and Kunal's relationship is shaken when Ally, an old friend, re-enters their lives. What begins as a plan between two women spirals into chaos, triggering hilarious, emotional rollercoaster none of them saw coming.",325.4183,/oIQmtByV1LtEQSwM4EpdLTyoSlM.jpg,2026-06-19,False,False,5.8,18
False,/qjTqY5coNiz6sVtPng40IzltsoN.jpg,"[16, 10751, 35, 12]",1084244,Toy Story 5,en,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",561.0877,/pxG26JdyuiDvJbSoucknaFiLeZD.jpg,2026-06-17,False,False,7.469,352
False,/5lTZyuBTNOfawsfPT8Q0cIg6qAF.jpg,"[27, 53]",1339713,Obsession,en,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",421.3331,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,2026-05-13,False,False,7.894,1024
False,/s6ly8laenkHWlIBRkLSfIuEMLC6.jpg,"[878, 53]",1275779,Disclosure Day,en,Disclosure Day,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding.",564.1539,/AnJ8IQJI23hNpYXVNaythu061Ru.jpg,2026-06-10,False,False,6.688,711
False,/oUozq2XHWifwAVOoS1qHU0qfXqM.jpg,"[27, 9648, 878]",1083381,Backrooms,en,Backrooms,A strange doorway appears in the basement of a furniture showroom.,372.9236,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,2026-05-27,False,False,6.9,768
False,/ufSwlnECLoUbBjPrFqEQcWBzHwc.jpg,"[10402, 18]",936075,Michael,en,Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",342.1772,/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,2026-04-22,False,False,8.7,3128
False,/hBwCiqcaXtxmhv5xZ0H6Uhd2L1E.jpg,"[28, 12, 878]",1081003,Supergirl,en,Supergirl,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",314.5953,/niSvU02l2BONH9ivubV6K1a5QiK.jpg,2026-06-24,False,False,6.2,210
False,/iYjlQzWbcFIjWe2WifbEPb4kErp.jpg,"[53, 27]",1127384,Deep Water,en,Deep Water,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,352.2732,/kjcuS7xaRyqRjVaVcH4t0qHshuX.jpg,2026-04-30,False,False,6.142,67
False,/t6O6XWelu27BD0OmIDCCufZZT6d.jpg,"[35, 9648, 10751]",1301421,The Sheep Detectives,en,The Sheep Detectives,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",309.3222,/iKy5460GdsoknM8ppmGlJbKxAKa.jpg,2026-04-30,False,False,7.8,492
False,/laR2dpcNpbv83jdlRUNAYPPjH90.jpg,"[28, 14, 12]",931285,Mortal Kombat II,en,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",268.3236,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,2026-05-06,False,False,7.984,1729
False,/z18AIGSU0vk4Y7LQP37CPSeKZvF.jpg,"[18, 28, 10751, 53]",1515729,Blast,ta,Blast,Follows a family trained to protect the powerless who become the most dangerous obstacle of all.,145.9413,/ho824aZtnBzE6FuJRn2znQCq4qQ.jpg,2026-05-28,False,False,7.273,22
False,/A2tzVTVtnTvpji96IZmleN78KKv.jpg,"[27, 35]",1239134,Bhooth Bangla,hi,भूत बंगला,"A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",177.6107,/ArIS4vwUxdhm3j7tsTHmffdfU8W.jpg,2026-04-16,False,False,5.463,41
False,/xWBiXclrRmTggQHMRsIn84YHavs.jpg,"[35, 27]",1273221,Scary Movie,en,Scary Movie,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",325.7635,/reZ8NInXjMkkaOpUHcI3Pn7iaRN.jpg,2026-06-03,False,False,5.5,372
False,/2WU6Y6aonzD6uAaCmNnEFlesxxJ.jpg,"[10749, 35]",614945,Voicemails for Isabelle,en,Voicemails for Isabelle,"A young woman's hilariously confessional voicemails to her late sister are unknowingly redirected to a stranger, who begins to fall in love from afar.",169.0702,/canZTWSxACSnAluir3dCtMxKpA1.jpg,2026-06-20,False,False,8.328,316
False,/4lj7MZtcIDI2FmZXGkFWh0sNCsq.jpg,"[28, 12, 878]",1228710,The Mandalorian and Grogu,en,The Mandalorian and Grogu,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",181.9915,/5Vi8dSauVwH1HOsiZceDMbRr1Ca.jpg,2026-05-20,False,False,6.687,535
False,/dxyNrJ4uG9os6miCG7s754nvKPs.jpg,"[28, 80]",1280738,The Furious,zh,火遮眼,"After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.",141.8542,/zP19YO60jwEsfKd5Qf1UvA5uJu8.jpg,2026-06-10,False,False,7.739,67
False,/bdwv8Hsu4Bnz8aRbH5MQ9clQ0DG.jpg,[35],1397385,Little Brother,en,Little Brother,"A tightly wound realtor's picture-perfect life gets an extreme makeover when his lovably chaotic ""little brother"" suddenly reappears.",139.89,/hIJpXb7Xaje2mebN9ylsS7blQzP.jpg,2026-06-18,False,False,6.384,99
