adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/5VHIksw6lqGEbZZip2nn0MlG5i0.jpg,"[10767, 10764]",244261,['DE'],de,Bares für Rares - Lieblingsstücke,,10.5397,/7yLU9oiBYl0w2wD2pZ52disD1Kc.jpg,2016-07-10,False,Bares für Rares - Lieblingsstücke,7.0,1
False,/xVN8rq2VM9cvFmM0grv1AFnhO6d.jpg,[99],316992,['US'],en,World War II with Tom Hanks,"Explores WWII from Germany's invasion of Poland through the atomic age, examining pivotal battles, wartime leaders like Churchill and Roosevelt, and the human cost of total war.",10.3784,/MPN0glmZV3JnZfmXtKF32SRhDD.jpg,2026-05-25,False,World War II with Tom Hanks,7.917,12
False,/xjg35ysPaaC8tlmlH2tD5J038l3.jpg,"[10764, 35]",114574,['IN'],ta,Cooku with Comali,"Cooku with Comali, also known by the acronym CWC, is an Indian Tamil-language comedy-based cooking competition show aired on Star Vijay and streams on Disney+ Hotstar where the contestants are paired each week with comedians (comalis) who are amateur cooks. The first season premiered on 16 November 2019 and ended on 23 February 2020. The second season was premiered on 14 November 2020 and ended on 14 April 2021. The third season was premiered on 22 January 2022 and ended on 24 July 2022. The contestants along with their comalis are challenged every week and judged by Chef Damu and Chef Venkatesh Bhat.",10.2563,/iuPhRaSQNj1K6fo1g1dVEQx1Q5d.jpg,2019-11-16,False,Cooku with Comali,8.4,7
False,/8CQmys6ZRRADm9cN8R3MFfG38K4.jpg,"[35, 10751, 18]",325313,['ES'],es,Olivia,The country's most famous weatherman must seek refuge from a media storm with his daughter Olivia in his father's olive grove. But having not spoken to him for 30 years won't make returning to his roots easy.,10.1788,/cKSZ0HotUro3pUYOcy7xq3CDER6.jpg,2026-07-01,False,Olivia,0.0,0
False,/2tsV5aUtmeiIzZUHpBDUkZjTqzI.jpg,"[10763, 10767, 10768]",10478,['US'],en,Washington Week with The Atlantic,"Journalists participate in a round-table discussion of news events in this award-winning public affairs series. It first aired in 1967, making it the longest-running prime-time news and public affairs program on television.",10.0687,/tGaKgK9WqXp9IoryrypCfg3a1vD.jpg,1967-02-23,False,Washington Week with The Atlantic,9.7,3
False,/bOgsRcvQcetWXtVnPgKtYYf9aSV.jpg,"[16, 10762, 10759, 35, 10765]",306721,['JP'],ja,名探偵プリキュア！,"On her 14th birthday, Anna Akechi meets a magical fairy and suddenly time-slips from 2027 to 1999! There, she befriends Mikuru, a spirited girl who dreams of becoming a detective. When mysterious thefts stir rumors of the Phantom Thieves, the two transform into Detective Precure, using courage, deduction, and friendship to solve cases and uncover the secret of Anna's journey through time.",10.0508,/hvCZ64xKMJvFQDgW3RypLnzzS32.jpg,2026-02-01,False,Star Detective Precure!,6.8,5
False,/8D7O0JBWVLaFGyDk3vSPri7HmWp.jpg,[99],14976,['US'],en,Independent Lens,"This acclaimed Emmy Award-winning anthology series features documentaries and a limited number of fiction films united by the creative freedom, artistic achievement and unflinching visions of their independent producers and featuring unforgettable stories about a unique individual, community or moment in history.",10.0003,/amfeqi4cccb458kFNEg2pSZoCGw.jpg,1999-08-09,False,Independent Lens,6.625,16
False,/7W6byklTyR1eYBxqRkruJLv64fc.jpg,[10764],294253,['CN'],zh,我们的宿舍,,9.9785,/fujnoKdxgHa4mjpqvRAt9Yv9Dkq.jpg,2025-06-24,False,Our Dormitories,0.0,0
False,/kiD4RDvt9kppAjvBy2LE4k86PDJ.jpg,[10764],61575,['US'],en,90 Day Fiancé,"Getting through customs is just the beginning. With just 90 days to wed on a fiancé visa, follow international couples as they attempt to overcome cultural barriers and family drama while in search of true love that knows no borders.",9.8227,/wJVDf4ZysdxhoREQIHlOM4phRNp.jpg,2014-01-12,False,90 Day Fiancé,7.1,77
False,/aFKa34eHIPoKxRxkEQLd6tKy9Ph.jpg,"[10759, 18, 35]",121651,['JP'],ja,スターダム・ワールドのスターダム,"Stardom World is the VOD network for World Wonder Ring Stardom. WWR Stardom is a Japanese women's promotion started in 2011 featuring matches of many varieties including high speed octane action, long brutal brawls, and even costume battle royals. In 2019, the promotion was acquired by Bushiroad and has since become one of the top wrestling promotions in Japan.",9.7747,/liGgY9uimx9jmv89x49jHtb8Ndl.jpg,2011-01-23,False,Stardom on Stardom World,9.5,2
False,/jhoYwf4OuxVl6j04MuRc2MUIsaJ.jpg,"[10764, 99]",101359,['US'],en,The Secret of Skinwalker Ranch,"There is a ranch in northern Utah. It is considered the epicenter of the strangest, and most disturbing occurrences on Earth: For two decades, the federal government investigated the property. Their findings have never been made public. Now a new team of independent scientists and researchers are taking over. They are uncovering evidence that the countless stories, of unidentified aerial phenomena, Bizarre energies, and portals that lead to other dimensions Might actually be true. They will stop at nothing to reveal The Secret of Skinwalker Ranch.",9.7488,/j8PpovebgIhrt89AQVvkogcX34v.jpg,2020-03-31,False,The Secret of Skinwalker Ranch,8.0,56
False,/wCuGxz9dxsPPPoCW9eqcZnEyM4A.jpg,[10764],37913,['US'],en,American Ninja Warrior,"Follow competitors as they tackle a series of challenging obstacle courses in both city qualifying and city finals rounds across the country. Those that successfully complete the finals course in their designated region move on to the national finals round in Las Vegas, where they face a stunning four-stage course modeled after the famed Mt. Midoriyama course in Japan. The winner will take home a grand prize of $1 million.",9.6944,/iAL6JYSfMp3v009qbQCyMwiGl2g.jpg,2009-12-12,False,American Ninja Warrior,6.84,75
False,/2n14yZCRS3jCCTkKQu7z0SX1p8W.jpg,"[10759, 18, 35]",211416,['JP'],ja,DDTプロレスリング,"DDT Pro-Wrestling, previously known as Dramatic Dream Team and often referred to by its initials (DDT), is a Japanese professional wrestling promotion founded in 1997 by Sanshiro Takagi. It became one of the top names in Japanese indy wrestling by creating a unique, tongue-in-cheek ""Sports Entertainment"" style with a Japanese puroresu flair to the matches.",9.6746,/aNNuq3y2lLHoG0PmVm73GsXgbxo.jpg,,False,DDT Pro-Wrestling,8.0,1
False,/qTtEGZdcShTjgj1wsLvJ0OGGh5e.jpg,"[18, 9648, 35]",156993,['US'],en,Harry Wild,A recently retired English professor discovers a real knack for investigation and cannot help but interfere with the cases assigned to her police detective son.,9.6221,/aLnxpbhwsJ3XCATDEfFaAmJV80d.jpg,2022-04-04,False,Harry Wild,6.559,59
False,/yWOCzgS9xDAmsY4LaUIL2ZjMQ5O.jpg,[10765],310708,['TH'],th,จะ Gen จนกว่าจะเจอ,"One day, a package arrives at quirky introvert Gen's doorstop. When she opens the package, she discovers a truly human-like robot, beautiful like the girl of Gen's dreams. While trying to find a way to send the robot back, Gen accidentally hits a button that has the robot opening her eyes and coming to life. With the beautiful, flirtatious, playful and sexy robot by her side, Gen is completely swayed and decides to keep her, giving her the name Ai.",9.5917,/JeTjIZhyE5cuqZeHBULmsUu9ni.jpg,2026-07-01,False,AI Girl,0.0,0
False,/dt75jPUtDiY7sZpQaNoFKv3zkv.jpg,[18],133174,['US'],en,All the Queen's Men,"Marilyn ""Madam"" DeVille is at the top of her game in the Atlanta nightclub industry, and she won't let anyone or anything stand her in way as she rules a crew of male exotic dancers.",9.4695,/eXswCm8rvJUQbU89ihb0CQVJGpS.jpg,2021-09-09,False,All the Queen's Men,8.41,78
False,/tf6jjp6zs72dGIyKXiJhOFYGWsr.jpg,"[35, 99]",62102,['DE'],de,Extra 3,Extra 3 is a political satirical magazine from Norddeutscher Rundfunk (NDR).,9.4271,/xuJffmaJ4sbJDsK4rXInAU1huSo.jpg,2004-02-26,False,Extra 3,7.857,14
False,/vozvAHeGkMGu7HKAlYnPgDzdrUw.jpg,"[10766, 18]",4504,['NZ'],en,Shortland Street,The lives and loves of the residents of Ferndale.,9.4208,/7T7TphnK6yvz9J5sMbJ5UyquYWK.jpg,1992-05-25,False,Shortland Street,5.333,18
False,/dJRHZQeHsuqDyrH1sximew6rsyI.jpg,[10764],259700,['CN'],zh,忙忙碌碌寻宝藏,,9.3923,/ipA4O4bAgN1ueO4MBQrUTxTXQs.jpg,2024-07-28,False,Crazy Treasure Hunt,7.5,2
False,/ljS3auI8tPDYyLw6CnNpLcr2kjT.jpg,[10766],987,['US'],en,General Hospital,"Families, friends, enemies and lovers experience life-changing events in the large upstate New York city of Port Charles, which has a busy hospital, upscale hotel, cozy diner and dangerous waterfront frequented by the criminal underworld.",9.3369,/gS5iORCJHwP5moEXSF9b6ZcsZ1w.jpg,1963-04-01,False,General Hospital,5.8,217
False,/4L9sftGH7oQ1bpB0aQHERwyfDVd.jpg,"[18, 80, 10759]",316294,['TH'],th,เพย์แบค เดอะซีรีส์,"A grieving debt collector enters the entertainment world for revenge, only to fall into a dangerous attraction with a powerful executive.",9.2974,/616HQHGVqEh0ZbQIRdyjIBQfqhU.jpg,2026-05-30,False,Payback,8.5,2
False,/1BOhfoHofz8bso0fQTvXFuEd30O.jpg,"[16, 35, 10765]",94039,['CN'],zh,非人哉,,9.1678,/doKJa4rZoSbMskhe9RdJODSwFvS.jpg,2018-03-29,False,Nonhuman,8.4,8
False,/cOQndkhMvznOac1T6JKltjzMX8N.jpg,[10764],78533,['US'],en,Jersey Shore: Family Vacation,"The cast of Jersey Shore swore they would always do a vacation together. Now, five years, five kids, three marriages, and who knows how many GTL sessions later, the gang is back together and on vacation in a swanky house in Miami Beach.",9.0704,/w9bzs5aESomtSrKi39NKrre5tC7.jpg,2018-04-05,False,Jersey Shore: Family Vacation,7.2,57
