adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/taaZBRjpMEBq4140fwm06zAWrcj.jpg,[99],196099,['GB'],en,Cornwall: A Year by the Sea,"Exploring Cornwall as a thriving county all year round. There may be a bountiful tourism industry, but Cornwall's proud and hard-working locals still farm the land and fish the sea, coming together for traditional celebrations throughout the year.",1.2913,/9IKHZd7WZEGSXUHDIzLvmAYwRa6.jpg,2022-03-25,False,Cornwall: A Year by the Sea,0.0,0
False,/bfwtYagNlvS9SOurY5oAhzEHeaJ.jpg,[99],319385,['US'],en,History's Greatest Machines with Dolph Lundgren,"Explores the impact of machines on history, including the printing press, the Model T and early personal computers.",1.2843,/eKuqTyxbfg2WeKN4V7mdFs9WVYl.jpg,2026-06-01,False,History's Greatest Machines with Dolph Lundgren,0.0,0
False,/jF60ekaM3mfTF8cMCjMt4Hv74x7.jpg,[99],229732,['JP'],en,RAMEN JAPAN,"Ramen is a savory combination of umami-packed broth and perfectly cooked noodles. This program offers an encyclopedic view of this delectable dish, taking you on a journey across Japan to discover ever-evolving local variations. Join us as we explore a tapestry of local customs and food culture through the lens of ramen.",1.2842,/d6fOE9OyzCYh0Os5rbXvc2CV4c3.jpg,2023-06-21,False,RAMEN JAPAN,10.0,1
False,/oIunF0pwA8rquaINBkzoyNSTIpu.jpg,[99],205513,['JP'],en,A Cat's-Eye View of Japan,"Globe-trotting wildlife photographer and filmmaker, Iwago Mitsuaki, offers the best of a vast collection of cat footage he took in Japan. On this unique trip around the country, discover the lesser-known charms and customs of regions through the eyes of cats!",1.2609,/p7v4fTmuSJflkAafGRPAKap6qXL.jpg,2022-02-11,False,A Cat's-Eye View of Japan,0.0,0
False,/uqVNW3XKADgrmIjbtNNhAVmyrCy.jpg,[10764],256487,['IT'],it,Quattro matrimoni,,1.2559,/kaQ632ymJnaU2KLtUDGiD5Gerog.jpg,2014-01-09,False,Quattro matrimoni,7.5,2
False,/nffUeBRLStF4I4dohnltL2N37HU.jpg,"[18, 10751]",322789,['LK'],si,ජැෆ්නාදරය,"A compelling drama series exploring identity, survival, and the intricate bonds of community in Jaffna. As personal ambitions collide with deeply-rooted traditions, ordinary citizens must navigate complex modern challenges while fighting to protect the people and heritage they hold dear.",1.2505,/8rFuuIgcndRzPtJ4SGG3D4BZRev.jpg,2026-05-09,False,Jaffnadaraya,0.0,0
False,/1p6sUtA9JGdYVTDBPDJzODKeEmc.jpg,[],315702,['JP'],ja,ミッドナイトタクシー,"A reserved young taxi driver navigates the neon-lit streets of Tokyo, quietly witnessing her passengers' poignant life transitions while embarking on her own introspective journey toward turning thirty.",1.2492,/fFfqjYs9yP3OvFO1uk5jMbFY59N.jpg,2026-06-01,False,Midnight Taxi,8.0,1
False,/zGrp9r54EmfJAJ1kHVaJ5xEkkm6.jpg,[99],326448,['GB'],en,Alexander Armstrong In America,"Alexander Armstrong embarks on a journey across the United States to explore how a nation founded on bold ideals became one of the world’s most powerful and complex countries. From the historic streets of Pennsylvania and the rugged hills of West Virginia to Florida’s sun-soaked coastlines, the neon spectacle of Las Vegas and the vast landscapes of Utah, the series crosses thousands of miles to meet the people and places that reveal a nation shaped by its past, constantly reinventing itself, and defined by bold ambition and striking contrasts.",1.248,/v1aXoigy11QEEZ4QrVBYygRgicM.jpg,2026-06-27,False,Alexander Armstrong In America,0.0,0
False,/9urSeJFXBJUIGSBaHYMqWbwB26Z.jpg,[10764],157824,['DE'],de,Prominent getrennt - Die Villa der Verflossenen,In this RTL show former celebrity couples are forced to work together to win the jackpot.,1.2462,/6EzNTj30Vk3V6L5ldVUGS3ReSIC.jpg,2022-02-15,False,Prominent getrennt - Die Villa der Verflossenen,7.0,1
False,/aPxfLACunhuDOAN1zzCLeXHBRLJ.jpg,"[18, 35]",324744,['AU'],en,Ina,"When driven TV producer Madeline is forced to cast her mother as the guest star of her cooking show, their simmering tensions boil over in a single shoot day where they might finally heal – or see their relationship go up in flames.",1.2435,/ahAiqgr9ovlij7GuLBC1RbeHNfc.jpg,2026-06-12,False,Ina,0.0,0
False,/rj7oUXbDOFi6pxTnl8Jj2BoeTfK.jpg,[10764],325035,['JP'],ja,King & Princeがまちあわせ in LA,"Ren Nagase and Kaito Takahashi of King & Prince have always been by each other's side. In Los Angeles, they celebrate their bond with a uniquely themed adventure. The once inseparable pair must now part ways to complete a series of challenges before finding their way back to each other. This is the real Ren and Kaito, off-duty and offstage. Join them on their heartfelt journey across the United States and experience the simple joy of finally meeting up again.",1.2332,/qKCfHUzIO4thnG4czU4hTfA4f7E.jpg,2026-06-17,False,King & Prince: Our Meet-Up in LA,0.0,0
False,,[],318173,['ES'],es,La chica buena dominada por papi,,1.2323,/ngpv3nbWHDmz6HVqeQ5LhDxu6nU.jpg,2026-03-30,False,La chica buena dominada por papi,0.0,0
False,/vY2xhnY0XFiV2RXNEfuFQj6wQxv.jpg,[18],326079,['IN'],hi,Jimmi: Paisa Aur Paap,"Runa's sudden shift in behaviour shocks everyone. Meanwhile, the real owner of the box frantically searches for it.",1.2229,/tfT1m03nYH86cMfRnn7g4lh8OhJ.jpg,2026-06-04,False,Jimmi: Paisa Aur Paap,0.0,0
False,/vyICbTH9W61b3s1wTzRA7nqPxii.jpg,"[99, 80]",257744,['US'],en,Bodies in the Water,Haunting real-life mysteries that dive deep into the secrets of murder victims submerged in a watery grave.,1.2154,/kdvK2OdTpUOs39Z0lvr9vKch9zP.jpg,2024-07-08,False,Bodies in the Water,8.5,2
False,/rVAa6nHdCz5nZNfeFxKqQB7xNhd.jpg,"[16, 10762]",325176,['CN'],zh,大卫，不可以,,1.2113,/gmBHfc0b8WDVAd50yEkJCz33MFq.jpg,2026-02-09,False,大卫，不可以,0.0,0
False,,"[9648, 18]",319990,['JP'],ja,ストレンジ -伊藤潤二の夜も眠れぬ奇妙な話-,Live-action anthology Series adapting from Junji Ito's selected works.,1.199,/w68snbt0cncQkBneXO3ibIl9fgq.jpg,2026-07-04,False,Strange: Junji Ito's Tales for Sleepless Nights,0.0,0
False,/5GF3fifAe3uElhci6TI09VHBMHA.jpg,"[16, 35]",312849,['JP'],ja,才女のお世話 高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました,"Hinako Konohana is the perfect young lady—graceful, elegant, and flawless… or so everyone thinks. Behind closed doors, she's a total disaster who can't handle basic chores! When ordinary student Itsuki Tomonari becomes her caretaker, he's thrown into 24/7 damage control, maintaining her ""perfect"" image. It's awkward, nonstop chaos—but it starts softening into something that feels like love…",1.1948,/5vVcJljxO9z1Y5pt4f2axv4NFpb.jpg,2026-07-05,False,Rich Girl Caretaker: I'm Secretly the Caregiver of the Most Popular Girl in This Rich Kid School,0.0,0
False,/yadZB5wGaRKxNbWHvACE5HpTboT.jpg,[18],326218,['ES'],es,Justicia Those Who Kill,,1.1932,/73ommR9u4vYTBpVVF1rJ4ZPJFA1.jpg,2026-06-22,False,Justicia Those Who Kill,1.0,1
False,,[99],325919,['DE'],de,POV – Deine Geschichte zählt,,1.1931,,2026-04-18,False,POV – Deine Geschichte zählt,0.0,0
False,/bVRXFOcZDabgzl2TycG9hbYpAe2.jpg,[],257085,['TH'],th,ธาตรี,"After losing everything to his lavish lifestyle, bankrupt socialite Thatri Thatriphan crosses paths with a wealthy childhood friend who shares the same name. When a tragic train bombing leaves the friend incapacitated, Thatri is asked to assume his identity and claim a vast inheritance—pulling him into a risky deception that could either restore his fortune or destroy him completely.",1.1901,/qxQoOqocwjDQqKpi0H40hobEuUq.jpg,2026-06-08,False,The Two Faces of Thatri,0.0,0
False,/v0gGqqH3xbo0LXYeE40ixFcno09.jpg,[10767],284408,['FR'],fr,100% Poker,,1.1765,/j4Vs19OnknuvzQxoVesSlNhgcZo.jpg,2023-09-24,False,100% Poker,0.0,0
False,/paGM5j62aK0GeZf3lvhsDKfSfwB.jpg,"[10764, 18]",119177,['NL'],nl,Echte Gooische Moeders,,1.1354,/hGkdiyq4EFTazfwsY3C6svyKnJu.jpg,2020-11-04,False,Echte Gooische Moeders,8.5,2
False,/A1XCO52GLGeCCF1rgimGdsRMF9M.jpg,[35],318358,['RU'],ru,Двойная жизнь Ми,"Sixteen—year-old Mila hides from everyone that she is a popular singer Mi. Balancing between school, blog, and personal life, she tries to keep a secret and at the same time help her father, the principal, who is having an affair with her main enemy, an official. Angela.",1.18,/uaKxJ3MH9NtLn3aJKajwx3OX35e.jpg,2026-06-04,False,Double Life of Mi,0.0,0
False,/fsy0hUb4Na43Is5jHzexLlKV8uR.jpg,[35],218078,['ES'],es,Leo talks,"Leo Talks is a parody of what motivational talks are, carried out by humorist Leo Harlem, with an objective totally contrary to the positive and inspiring tone that the originals give off. Undoubtedly, it is a format that proposes a renewed formula of the classic ""Stand up Comedy"".",1.1274,/8sf20VsHTYiPU87gYvbt6U2kCdq.jpg,2023-01-10,False,Leo talks,8.0,4
False,/8OyTHmUEkndqoo0uyjLjTa7eZzL.jpg,[10764],288841,['US'],en,Castle Impossible,"With passion, determination and grit, Daphne and Ian will confront budget constraints, battle bug infestations, hunt for rumored hidden treasure and tackle a seemingly endless list of projects head-on to breathe new life into the historic estate and preserve her grandfather's legacy.",0.8798,/263iMFN62eTC7lkrNnWo8V0XtP8.jpg,2025-04-29,False,Castle Impossible,6.0,1
False,/yWIDRLL8X4755R43SfNhV82NsM9.jpg,[],306477,['BR'],pt,Voce Tem um Homem,,1.1181,/py7NvBiwtxHD1UNns4qxZCveWQf.jpg,2025-12-01,False,Voce Tem um Homem,0.0,0
False,/fFYUqzIsXOMsn7EbiEFDj7sY6WU.jpg,"[10767, 10764]",323449,['GB'],en,Love Island: The Debrief,"Love Island fans, welcome to The Debrief. Shakira Khan, Toni Laites, & Yasmin Pettet bring Villa gossip, hot takes, dumped Islander interviews and chaotic group chat energy, every day.",1.1243,/edcr0RbwpOKniC1CAAo2EzUtp7d.jpg,2026-06-01,False,Love Island: The Debrief,0.0,0
False,/5y0kfKx3X5SlmtJD26YI1oUsBpZ.jpg,[16],296933,['JP'],ja,コアラ絵日記,"Koala writes about daily life, whether it's good or bad, happy or sad. Koala treats every day as a precious day.",0.9934,/5IwLOuBjc9JhkJbkcyMft7OfKJK.jpg,2025-10-02,False,Koala's Diary,8.0,1
