adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/h37hqVLmCW00ImewLAHT1DadOky.jpg,"[10765, 18, 10759]",94997,['US'],en,House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",461.604,/7V0Ebks0GgpKvQ7QbLAIdX5dos4.jpg,2022-08-21,False,House of the Dragon,8.347,6347
False,/wh5agdl3b7fqC7mSjsCkHx4fMAs.jpg,"[37, 18]",299167,['US'],en,Dutton Ranch,"Rip Wheeler and Beth Dutton gamble everything on a new life in South Texas, but the promise of building a future far from the ghosts of Yellowstone quickly collides with brutal new realities and a rival ranch that will stop at nothing to protect its empire.",241.6359,/xsiecCxd8lkcAluw0wWwbW5CwSv.jpg,2026-05-15,False,Dutton Ranch,9.27,324
False,/80vo7eYhAXPJltu32lG5JGrGPzG.jpg,[18],288603,['CN'],zh,炽夏,"To save her gravely ill grandmother, top student Zhou Wan approaches her mother's stepson, Lu Xixiao, for funds. They fall for each other over the summer after graduation but are torn apart by misunderstandings in reality. Ten years later, they reunite at work. Though Lu Xixiao harbors resentment, his love for Zhou Wan remains. As they uncover the truth behind a ""factory accident,"" they resolve their differences and reunite.",197.4209,/51x3GY7o07PqLgCN0UIJVHHzgCO.jpg,2026-06-16,False,Never-Ending Summer,9.0,2
False,/g1LJLlmWP74zv9yXKEXm7g9p10O.jpg,"[10759, 80, 18]",296206,['KR'],ko,김부장,"When an unassuming dad's daughter goes missing, he dusts off his old black-ops skills to track her down — only to attract the wrong kind of attention.",183.9228,/jruaZAm1KjkFRhgRcdF8tqakhpH.jpg,2026-06-26,False,Agent Kim Reactivated,8.0,11
False,/tUtXfyVy54BY7eJnRtI8Xnmr1ZL.jpg,"[80, 18, 9648]",4057,['US'],en,Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",173.4714,/hWSb4UnIjlTvnvrP98NbFSO60HA.jpg,2005-09-22,False,Criminal Minds,8.302,4101
False,/jIArNHIekrCSVgdMbKPAXpPY03Y.jpg,"[10751, 16, 35]",456,['US'],en,The Simpsons,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",165.3594,/uWpG7GqfKGQqX4YMAo3nv5OrglV.jpg,1989-12-17,False,The Simpsons,8.019,10841
False,/5BDNWWHweQL0q1fmTv7gmRXfnl4.jpg,"[16, 35, 10765, 10759]",60625,['US'],en,Rick and Morty,Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,149.8661,/owhkU6KRqdXoUQpjV8uyZGPtX58.jpg,2013-12-02,False,Rick and Morty,8.679,11023
False,/m5AiGZT678lFmGAnBJUn4GqjGIu.jpg,"[35, 18]",315038,['IN'],ta,ரிசார்ட்,A debt-ridden room service boy rises to challenge a ruthless kitchen at a luxurious beachside haven.,123.9953,/cL7iOwqapRRb7eKKlXI4FDaP6rh.jpg,2026-03-13,False,Resort,0.0,0
False,/feISh3qoREwIPWbSaLqqumbmh7m.jpg,"[9648, 80, 18]",322055,['KR'],ko,검사실의 제안,"A victim’s son and a killer’s son reunite as a prosecutor and investigator, fighting systemic corruption while becoming each other's salvation.",132.2217,/lK6DrnFecG0AsA8O5UqEYOrOArd.jpg,2026-06-25,False,The Prosecutor's Proposal,0.0,0
False,/wsHj4oHQJoe7DMYaqNFwVoyLiAh.jpg,"[35, 10764]",33238,['KR'],ko,런닝맨,"These days, as variety shows are gradually disappearing, this is one of Korea’s representative variety shows that has been responsible for Sunday evenings for over 10 years. This program features numerous stars and members going around various places, playing games, and completing missions. In particular, among the many fun elements of variety shows, this one focuses solely on laughter.

Open your eyes! Big fun is coming in!

Open your mouth! Big laughter is coming in!

Open your heart! Useful lessons are coming in!",103.4805,/2Wmmu1MkqxJ48J7aySET9EKEjXz.jpg,2010-07-11,False,Running Man,8.2,213
