adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/bB0HaOUhitWQSAB1sKVKjnDHSCc.jpg,[99],323761,['NL'],nl,Goed Verhaal,,0.1853,/4DU7FS3N3iNrCYvkIdjlA36YLIJ.jpg,2026-06-08,False,Goed Verhaal,0.0,0
False,/1QsshuyFckY8UUKtdS2sp9WTVTt.jpg,"[18, 9648]",325116,['CN'],zh,谜影追踪,,0.2294,/yeccBNKOfQDoSnJd4Q7vfxXCqjK.jpg,2026-02-01,False,谜影追踪,0.0,0
False,,[10764],321537,['CN'],zh,为爱闪耀的她,,0.2657,/phXyFxwhLTJykBoaXA6jXElLQOu.jpg,2026-04-27,False,为爱闪耀的她,0.0,0
False,,[35],320289,['CA'],fr,Groupe de soutien,,0.3501,/d2qfXHe0DenPVIDKBelyFEdZ1VZ.jpg,2026-06-09,False,Groupe de soutien,0.0,0
False,/fLatSf1tpeeSKSXKw4Govsoe5ov.jpg,"[10751, 10764]",324789,['NZ'],en,Ready Gamer Mum,"10 of the best young Kiwi gamers go head-to-head in a variety of video games, in the hopes of winning a $50k prize. The catch? The only person who can touch the controller is... their mum. Hosted by Tegan Yorwarth.",0.3697,/gSDExYfay7rmFcMf0iYMl7WzJII.jpg,2026-05-14,False,Ready Gamer Mum,0.0,0
False,,[18],325482,['IQ'],ar,حورية,,0.1779,,2026-06-30,False,حورية,0.0,0
False,,[99],314427,['JP'],en,Backstage Japan,"Go behind the scenes at Japan's most popular and intriguing places. Discover world-class expertise and advanced technology, driven by imagination, dedication, and attention to detail.",0.1522,/kT3GYIaOV86FZ5N6yLCMrHunU2S.jpg,2026-02-19,False,Backstage Japan,0.0,0
False,,[],322643,['CN'],zh,戏曲 自用 lzs2026,,0.159,/5fexR7TPZ1xh5aFMEP2vsHqfT6A.jpg,2026-05-16,False,戏曲 自用 lzs2026,0.0,0
False,/4yOhHZV1bbD3r5csuaQzQHX9o4B.jpg,[],321392,['US'],en,Chopped: Castaways,"Battling the elements across two grueling cooking rounds each week, competitors must build a working kitchen from basic supplies, earn their signature Chopped ingredient baskets through intense physical challenges, and cook entirely over open fire.",0.4555,/fCP8r4xO5QBeAEaJLM6HeIT5gip.jpg,2026-05-12,False,Chopped: Castaways,0.0,0
False,/5GKctdk6M6IBcdAi5x1nxTRLyZj.jpg,[99],324972,['RU'],ru,Азбука вселенной,,0.1506,/8cYqKpSkoJt7DIRaHXoMEf4KqmE.jpg,2026-06-10,False,Азбука вселенной,0.0,0
False,/8qVR8F5srTZ9Upw5yAzpMiMPe4K.jpg,[16],312442,['CN'],zh,无妄游戏,,0.2457,/s0TM3aaadzqtLQ6Fna6WZZ6SJfJ.jpg,2025-12-31,False,无妄游戏,0.0,0
False,,[],312912,['CN'],zh,我的女友是恶龙,,0.3501,/u0TQw3OhfHMKa8reVWuRQsyCZd9.jpg,2026-02-01,False,我的女友是恶龙,7.0,1
False,/m28daXn1mWJRJlE6T1wDot2HJ8P.jpg,[99],324914,['CA'],fr,Deux tapons au Japon,,0.2498,/q6NkRlkOflM4JHg88S5HGmfQQaB.jpg,2026-06-08,False,Deux tapons au Japon,0.0,0
False,,[],321942,['US'],en,BYU Baseball,See BYU baseball at its finest.,0.2393,,,False,BYU Baseball,0.0,0
False,/8gSdOZVqICJ66iDDlnxcZjPJfYY.jpg,[10764],322455,['US'],en,Outback Wreckers,"Professional car salvagers Mike Elliot and his crew venture into the harsh Australian Outback to hunt down abandoned vehicles and hidden automotive treasures. Facing treacherous desert terrains and unpredictable elements, the team strips down wrecked cars to export valuable components and turn a profit.",0.2454,/m3NxCEq0IpE57djpVFPDJac6ETq.jpg,2026-05-19,False,Outback Wreckers,0.0,0
False,,[],324924,['NL'],nl,NOS WK Ontbijt,,0.1815,,2026-06-12,False,NOS WK Ontbijt,0.0,0
False,,[9648],323858,['JP'],ja,親愛なる夫へ～完璧な妻の嘘～,"When his seemingly perfect wife dies under mysterious circumstances shortly after he asks for a divorce, a television anchor is drawn into a psychological mystery filled with secrets, lies, and obsession.",0.1975,,2026-07-03,False,Shinainaru Otto e: Kanpekina Tsuma no Uso,0.0,0
False,/xu49GgdmWJt7ZX1nrOcjT4I42WF.jpg,[10764],294541,['CZ'],cs,Farma Česko,,0.2556,/66cd8T8WAaz433j5AHVxH9H5OBe.jpg,2025-06-23,False,Farma Česko,0.0,0
False,/tpqxu6ddsWy93vk25IX53dMIlb7.jpg,[],322221,['US'],en,FIFA: Stories from the Cities,"Host Jenny Chiu and a local expert uncover the cultural, grassroots, and community dimensions of football across North America.",0.1037,/1OTtZQIRgje83vwR4E0jRC5Oja9.jpg,2026-05-10,False,FIFA: Stories from the Cities,0.0,0
False,,[18],325000,['TW'],zh,他的靈魂與他的書店,,0.1984,,2026-07-06,False,The Bookstore of Souls,0.0,0
False,/8qVR8F5srTZ9Upw5yAzpMiMPe4K.jpg,[16],312442,['CN'],zh,无妄游戏,,0.2457,/s0TM3aaadzqtLQ6Fna6WZZ6SJfJ.jpg,2025-12-31,False,无妄游戏,0.0,0
False,/m28daXn1mWJRJlE6T1wDot2HJ8P.jpg,[99],324914,['CA'],fr,Deux tapons au Japon,,0.2498,/q6NkRlkOflM4JHg88S5HGmfQQaB.jpg,2026-06-08,False,Deux tapons au Japon,0.0,0
False,/8gSdOZVqICJ66iDDlnxcZjPJfYY.jpg,[10764],322455,['US'],en,Outback Wreckers,"Professional car salvagers Mike Elliot and his crew venture into the harsh Australian Outback to hunt down abandoned vehicles and hidden automotive treasures. Facing treacherous desert terrains and unpredictable elements, the team strips down wrecked cars to export valuable components and turn a profit.",0.2454,/m3NxCEq0IpE57djpVFPDJac6ETq.jpg,2026-05-19,False,Outback Wreckers,0.0,0
False,,[],321942,['US'],en,BYU Baseball,See BYU baseball at its finest.,0.2393,,,False,BYU Baseball,0.0,0
False,,[],324924,['NL'],nl,NOS WK Ontbijt,,0.1815,,2026-06-12,False,NOS WK Ontbijt,0.0,0
False,,[9648],323858,['JP'],ja,親愛なる夫へ～完璧な妻の嘘～,"When his seemingly perfect wife dies under mysterious circumstances shortly after he asks for a divorce, a television anchor is drawn into a psychological mystery filled with secrets, lies, and obsession.",0.1975,,2026-07-03,False,Shinainaru Otto e: Kanpekina Tsuma no Uso,0.0,0
False,,[18],317789,['JP'],ja,永久少年 Eternal Boys,"A 35-year-old man who loses his job unexpectedly becomes part of an idol group made up of men in their thirties and forties, all striving for a second chance at their dreams.",0.2326,,2026-07-04,False,永久少年 Eternal Boys,0.0,0
False,/xu49GgdmWJt7ZX1nrOcjT4I42WF.jpg,[10764],294541,['CZ'],cs,Farma Česko,,0.2556,/66cd8T8WAaz433j5AHVxH9H5OBe.jpg,2025-06-23,False,Farma Česko,0.0,0
False,,[],293019,['CN'],zh,中国传统文化双语动画纪录片,,0.2303,/sBpPJulAS2NWZwCzcsx80My5UOa.jpg,2025-06-04,False,中国传统文化双语动画纪录片,0.0,0
False,/n02ThlegBmLUMasG6kF0ML2wf0r.jpg,[10759],326439,['TR'],tr,Böcekler - İsyan Ateşi,,0.2294,/ysy18rhF7gMzAHFvi2cbdPRy66H.jpg,2026-06-22,False,Böcekler - İsyan Ateşi,10.0,1
False,/tpqxu6ddsWy93vk25IX53dMIlb7.jpg,[],322221,['US'],en,FIFA: Stories from the Cities,"Host Jenny Chiu and a local expert uncover the cultural, grassroots, and community dimensions of football across North America.",0.1037,/1OTtZQIRgje83vwR4E0jRC5Oja9.jpg,2026-05-10,False,FIFA: Stories from the Cities,0.0,0
False,,[18],325000,['TW'],zh,他的靈魂與他的書店,,0.1984,,2026-07-06,False,The Bookstore of Souls,0.0,0
False,/yxsanrjVJ58HAMQOW9nzUcOz3JV.jpg,[],261000,['NL'],nl,Kloostergasten,,0.2225,,2022-09-01,False,Kloostergasten,0.0,0
