adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,,[10764],82025,['DE'],de,Undercover Boss,,1.5645,,2011-03-28,False,Undercover Boss,8.0,1
False,/o93FQvjmIBcCXd9uyrM37yUW3z0.jpg,[18],324018,['IL'],he,המתמחה,"One desperate, irrational action taken by Dr. Dasi Nakash, to save a patient who was betrayed by the hospital, sucks her into a dizzying trajectory of attempts to save patients, all the while facing moral dilemmas that become more and more complex to handle, and inevitably clashing with the dark side of the medical establishment.",1.4902,/y6KoOFhURntHonLlrHO8mCWxiHN.jpg,2026-05-21,False,Heart of a Killer,0.0,0
False,/uvJSkKNMDLn5p8sH81UIDqDIQPz.jpg,[18],324768,['TH'],th,ลูกผู้ชายหัวใจเพชร,"A gifted, humbly born musician and a wealthy student fall for each other amid personal rivalries and a life-changing accident.",1.6846,/sWsmxeC3wl4Geq5oMZMT5p3u36d.jpg,2026-06-15,False,Strong Will,0.0,0
False,/ohTPjxTl9vu5MUNT8mmuozESkxk.jpg,[18],298477,['CN'],zh,去桃花盛开的地方,"A young aspiring illustrator stays in a remote Tibetan village, seeking her mother with the help of local villagers, while the community embraces tourism to transform their home into the renowned Peach Blossom Village.",1.7575,/ozrG3jXYesO3zwLNOyBNAXkTvHC.jpg,2025-08-16,False,Finding Home in Blossoms,0.0,0
False,/hLa1alBNswGaTk3lu5s4qGxqLb2.jpg,[10764],288453,['US'],en,Next Gen NYC,"“Next Gen NYC” follows a tangled web of friends raised in the spotlight — or at least close enough for good lighting — as they stumble into adulthood one brunch, breakup and spontaneous decision at a time.",1.5133,/quiTd4vvJMAOSq5oncG31Q4cmo.jpg,2025-06-03,False,Next Gen NYC,8.0,2
False,/5nNTfuJHVPJOTHzS1LpmpGY70L.jpg,[10764],322722,['CN'],zh,国乐无双,,1.8389,/cCpfJSQw43gCr01JgtZi3sGWOKX.jpg,2026-05-23,False,国乐无双,0.0,0
False,/yAC1syZ2XEOkaE6Asz5594OIezX.jpg,[18],322885,['KR'],ko,더 테이블,,2.0214,/7SBF0hgdYI1nsbiBUOSc41DY9cL.jpg,2026-06-25,False,The Table,7.0,1
False,/sy8dtXYm7DO1eIehbyDpZ4r9bmh.jpg,[16],227218,['JP'],ja,おでかけ子ザメ,"The story follows a little shark character, Kozame-chan's adventures in Yauo town, which smells ""nostalgic."" From radio exercises to festival stalls to meeting with friends, Kozame-chan has a variety of heartwarming experiences in the town.",2.372,/64qo6XZ1wr8AOwpnaeIs0onjmbP.jpg,2023-08-01,False,Odekake Kozame,6.5,4
False,/7pMuLURP6Wgpv4ZXlObCimV3jXM.jpg,"[18, 10766]",295268,['IN'],hi,Tumm Se Tumm Tak,"Anu, a kind 20-year-old, and Aryavardhan, a resolute 45-year-old businessman, defy societal norms and family resistance, overcoming struggles to demonstrate that love transcends age or boundaries.",1.7994,/77BSpZ13SbaysMlFG6I8w0P5cFP.jpg,2025-07-07,False,Tumm Se Tumm Tak,0.0,0
False,/b96VzvINnynkHGpVTXVQbcHCYTA.jpg,"[10751, 18]",326157,['SN'],wo,Sama Yaay,"Codou, Fary, and Baye Zale reflect each day on the journey they have traveled. Behind their lives lies the silent struggle of a mother: Kéwé, widowed far too soon. Illiterate, Kéwé single-handedly bore the burden of the household, taking on numerous odd jobs and sacrificing her dreams to protect and raise her three children. Through her memories, Fary sees and experiences the reflection of this exceptional mother who transformed her tears into courage and her hardships into hope.",4.9684,/j4eiYB1wswpKvBoozV4TOQLD3Nc.jpg,2026-06-23,False,Sama Yaay,0.0,0
False,/vOXCP8gDeChnUyDVro0jUaT7Acr.jpg,"[10751, 18, 35]",323375,['IN'],ta,Brothers and Sisters,"Bound by love and unspoken truths, Shanmuga Sundaram and his devoted family's lives revolve around shared rituals... till hidden cracks begin to surface.",1.5346,/dUmJyNe5UT301KwVWrxctpP2sqU.jpg,2026-05-27,False,Brothers and Sisters,0.0,0
False,,[],318173,['ES'],es,La chica buena dominada por papi,,1.2323,/ngpv3nbWHDmz6HVqeQ5LhDxu6nU.jpg,2026-03-30,False,La chica buena dominada por papi,0.0,0
False,/3flNTu550dOcjDKDNi8zQv5oWY3.jpg,[18],243231,['US'],en,County Rescue,"With one paramedic opening, Dani Miller must set aside her recent heartbreak and prove herself worthy of the job while competing against the fire chief's impulsive son and an over-qualified rookie.",1.5046,/g4gusZBstAVtXYUQRGpIyGJ35zt.jpg,2024-02-26,False,County Rescue,10.0,1
False,/pGU5bKDalGb1QG7z6TkT8LKWIEK.jpg,"[16, 10765]",283805,['CN'],zh,盘龙,,1.7888,/2Bh7SGNEBeIX4GA45THoftUlqh7.jpg,2026-04-30,False,Coiled Dragon,8.0,1
False,/ze104rgUMOKNmtH7bDH9ehCEkPa.jpg,"[99, 35]",326150,['AU'],en,Garn: The Series,Garn is a satirical docuseries detailing the whimsical and questionably legitimate adventures of the Australian Working Class Hero Dan 'Murph' Murphy.,2.4826,/a6Nogiy9IahLVRwBpJ925G9NHAp.jpg,2026-06-22,False,Garn: The Series,10.0,1
False,/mLDXmz1wknpbIlslX5b5I9CyUIL.jpg,[10764],247172,['US'],en,The McBee Dynasty: Real American Cowboys,The high-stakes ranching and farming world of McBee Farm & Cattle is on the brink of becoming either a billion-dollar business or a financial disaster.,1.4909,/lJ0AlLsLnRfJ2yYriA7v6ZWvCdI.jpg,2024-03-11,False,The McBee Dynasty: Real American Cowboys,6.722,9
False,/oGsGqfgqALZ4OtMW7MCl0WiFThk.jpg,[18],133761,"['FR', 'IR']",fr,Happiness,"Tehran, today. Shadi is 17 years old. In life, Shadi loves listening to music at the bottom of the blocks with her best friend Ferial. But soon, she has to move to France, far from everything she has always known. Shadi starts to ask herself questions: is immigration really what she wants? To find out, she will embark on a journey to discover Iran.",1.6424,/t1iWrCGxWJV5GoOAYZAS97b9P6O.jpg,2021-09-20,False,Happiness,7.4,4
False,/3KbXVylgEd6IFnQxh54aExQDBoA.jpg,[10767],323418,['US'],en,The Vampire Lestat: After Dark,Dive deeper into the world of The Vampire Lestat with this new series that takes fans behind the scenes of each episode with members of the cast and creative team. Hosted by writer and podcaster Lizzie Bassett.,2.3748,/4we4BEbdWlWWdd2kXtAm0uXFyac.jpg,2026-06-07,False,The Vampire Lestat: After Dark,5.5,2
False,/rzFWrUMPl5JEZYXcnTLmd2uv2sF.jpg,[10764],325114,['KR'],ko,연애전쟁,"Couples standing on the brink of separation are faced with one question: stay together or part ways? With the help of three experienced relationship observers, they confront their deepest conflicts to discover whether their relationship still has a future.",1.9204,/s8cQ3omLNwPIVWPyHpEBBsS9YJd.jpg,2026-06-23,False,Love War,0.0,0
False,/hhGw73wWW8CPW5UWE0L0RMT8RrJ.jpg,"[99, 80, 10764]",227144,['US'],en,Contraband: Seized at the Border,"The border between the USA and Mexico is the busiest in the world. This series follows the work of America's Customs and Border Protection agency, whose job is to defend the border and stop terrorists, drugs and illegal weapons from entering the country.",1.5948,/hlCLRojglopcOtPKY1621oFH0kB.jpg,2023-05-23,False,Contraband: Seized at the Border,9.0,5
False,/tPNrPu4bqGUNJcfLwdebdxdAX91.jpg,"[35, 80]",300883,['GR'],el,Γιατί ρε Πατέρα;,,1.7062,/s6XZCZWL2NLgXCilTQJwLSEUkyO.jpg,2025-09-22,False,Γιατί ρε Πατέρα;,0.0,0
False,/vC2SxRXKStnGbjeqjP5dcTNSQBa.jpg,[10765],317872,['RU'],ru,Малахит,"In the small village of Krasny Kamen, three seventh—graders ― Roma, Asya and Gordey - are spending their summer holidays carefree. But one day, while swimming in a flooded copper ore quarry, Roma finds a magical malachite nugget that grants him an amazing ability: everything he draws becomes reality. But it turned out that along with the miraculous find, the ancient spirit of the Black Raven mine was released from the depths of the old quarry. He really can fulfill absolutely any wish, but in return he will demand to pay too high a price. Now the guys will have to show fortitude and prove that pure thoughts, warmth of hearts and true strong friendship are able to resist the terrible ancient evil.",1.6812,/rtxVkHHvD5JNygo9MvGxGmpizKc.jpg,2026-06-12,False,Malachite,0.0,0
False,/mLDXmz1wknpbIlslX5b5I9CyUIL.jpg,[10764],247172,['US'],en,The McBee Dynasty: Real American Cowboys,The high-stakes ranching and farming world of McBee Farm & Cattle is on the brink of becoming either a billion-dollar business or a financial disaster.,1.4909,/lJ0AlLsLnRfJ2yYriA7v6ZWvCdI.jpg,2024-03-11,False,The McBee Dynasty: Real American Cowboys,6.722,9
False,/oGsGqfgqALZ4OtMW7MCl0WiFThk.jpg,[18],133761,"['FR', 'IR']",fr,Happiness,"Tehran, today. Shadi is 17 years old. In life, Shadi loves listening to music at the bottom of the blocks with her best friend Ferial. But soon, she has to move to France, far from everything she has always known. Shadi starts to ask herself questions: is immigration really what she wants? To find out, she will embark on a journey to discover Iran.",1.6424,/t1iWrCGxWJV5GoOAYZAS97b9P6O.jpg,2021-09-20,False,Happiness,7.3,5
