adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/hUzT1U77vv0kp23OADhl3drF03Y.jpg,[18],1432073,L'écologie des sentiments,fr,L'écologie des sentiments,"Lola, a young animal rights activist, mysteriously travels to Paris during the Salon de l'Agriculture. As she settles into her hotel room, where nothing works, she calls on the room boy, Felix, a whimsical young man who is having a panic attack on his bed.",0.352,/91OcZghavkPIHvtbMSlDlHh2HCX.jpg,2026-07-08,False,False,0.0,0
False,/rcDriXH4nRNUpr74cWU6zIvxHVs.jpg,"[35, 27]",1699040,Wish You Were Dead,ko,이젠 죽었으면 좋겠네,"On a night when thunder and lightning strike, the deceased grandfather returns home as a zombie. Eighteen-year-old granddaughter Seohyun leads her family to launch an operation to kill the grandfather who became a zombie.",0.3,/zO5A9jz0bkNgwsA3Vo5IsMlPkIc.jpg,2026-07-03,False,False,0.0,0
False,/53Vuhw96gPTbMsOcScEpqYlAKXp.jpg,[28],1706076,The Robber,ko,더 러버,"After an incident in Seoul, a teenage boy with kleptomania transfers to a high school in a coastal town. He only wants to stay quiet until graduation, but his urges continue, and one day his own belongings disappear. Suspecting another thief, he begins following the class president. As she learns his secret too, the two become tied by each other’s weakness, until a stolen object reveals the hidden truth of a model student.",0.2382,/3WDIbgXQeTcMareZu3kHvQrIpbO.jpg,2026-07-06,False,False,0.0,0
False,/rAJ7gZoq8ZQdRdpj0FuXCKjsQAQ.jpg,"[18, 10749, 14]",1525560,Brunch for a Depressed Zombie,ko,우울한 좀비와 브런치,"One day, a wife suffering from depression turned into a zombie. However, instead of despairing, the husband begins developing strange yet lovely survival recipes to get through each day with his wife. Set against the backdrop of a quiet and mysterious rural village, the husband attempts extraordinary dishes to satisfy his wife's appetite and discovers a crucial hint in his late grandmother's old recipes.",0.2933,/yVyFxdHK8Or46Agmm8VSXBcn9U9.jpg,2026-07-03,False,False,0.0,0
False,,[35],1693983,Jackie the Stripper,en,Jackie the Stripper,A female empowerment grind house comedy action thriller. Jackie and her band of female vigilante assassins hatch a plan to kill six members of the evil male dominated court. With deadly and hilarious consequences,0.2926,,2026-07-02,False,False,0.0,0
False,,"[35, 10402]",1263856,So Much To Do- So little Time,en,So Much To Do- So little Time,"The story of four young people, ShinAe Ahn who is transgender, and three others, pan-sexual, gay, and lesbian respectively, who are fed up with the oppressive and authoritarian conservative government and its influence on the country. ShinAe Ahn decides to run for the office of prime minister, with the help of her friends and supporters. She meets a lot of caring people, and also a lot of haters. The current Prime Minister is not at all tolerant of the LGBTQIA+ community and is trying his hardest to stop any party that does not follow the orders of the conservative government from running without any logical reason to do so. That creates a political divide within the country, as politicians will attack anyone who is and/or who acts differently, or who stands up for people/themselves who they personally don't like. This story however is being told after the fact, a few years after the election, when ShinAe won as prime minister.",0.2547,/vsC5S4OqJf1ZVRMp2dMXSjYydep.jpg,2024-07-23,False,False,0.0,0
False,,[],1707086,Zoochant I,xx,Zoocântico I,Ways of looking at Earth's beings.,0.2705,/ctHklZ6YaeTfAUmY9VEJCDrU6nQ.jpg,2026-07-16,False,False,0.0,0
False,/2K1svnj3Gx7rFwp0j2CP9iNBipd.jpg,[18],1404175,Home Sweet Home,da,Hjem kære hjem,"Sofie begins her new work as a carer making home visits to old people. She is quickly confronted with the harsh realities of this challenging job. A precise, authentic representation of a profession that remains largely invisible to the public eye.",0.2569,/6taCCZMyA46YOooit2XH0MhNXLt.jpg,2025-06-19,False,False,6.9,10
False,/2BX6gNi7Yr1oHJsm4xHCQu6DBhp.jpg,"[53, 27]",1686301,Mala,en,Mala,"Reema inherits an abandoned resort on a remote island, and with her three friends, sets out to uncover the truth behind her inheritance. She soon discovers strange locals, cryptic messages from her late mother, and a familial curse involving tantric rituals and black magic. As tensions rise, Reema and her friends must confront their deepest fears to survive the island’s sinister grip.",0.408,/8kvcXOUbqajbCVymdzLrYgrM94.jpg,2026-07-10,False,False,0.0,0
False,/fH3gMlB7IWcGUQgslH9lR4V3v1p.jpg,"[27, 16]",1634820,Living Corpse,en,怪奇！死肉の男,"Yosuke Shinkai is haunted by a past he cannot recall - and a body that is rapidly decomposing. He is a living corpse, unclear who he is or why he has been brought back to life only to suffer again a slow gruesome death. Based on the 1986 horror manga by Hideshi Hino.",0.234,/7BsUqOkssGtMU9PLoWUHmeUHPor.jpg,2026-07-01,False,False,0.0,0
False,/oBXLJrUFxHpGbEkOtaZb0uaXnUl.jpg,[99],995888,Az Zeeb,es,Az Zeeb,"The filmmaker, a Chilean of Jewish and Palestinian descent, discovers Super 8 reels belonging to his father’s family. Between Chile, Israel and Palestine, he reconstructs two trajectories shaped by displacement and exile. A lesson in history in which clarity emerges from political complexity.",0.3238,,2026-07-09,False,False,0.0,0
False,/1VWmNG3oXpBh7gQBR7rmdqGEvEs.jpg,"[35, 28]",1566481,Marave,fr,Marave,,0.3679,/y44QAjSl4DRavKpcxW6B5i6QX6v.jpg,2026-07-08,False,False,0.0,0
