adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,,[],1708574,The Crowd,es,Muchedumbre,A filmmaker accidentally comes across a ruined village where silent souls refuse to revive the past. The remnants of a film shot years earlier constitute the only clue to understanding what once happened there.,0.0214,,2026-07-08,False,False,0.0,0
False,,[],1700520,Terreno,en,Terreno,Terrain explores the ruins of a motel in São Gonçalo and draws sensory parallels with the construction of the Rio-Niterói Bridge.,0.0143,/hPlj4rPcCWo8jxN1DvFXlbGcehT.jpg,2026-07-04,False,False,0.0,0
False,,[16],1699051,RUN.,ko,달리다.,,0.0193,/uSaXAmakhjk8rKCu9VvZ5j3wy86.jpg,2026-07-03,False,False,0.0,0
False,,[99],1691904,Eyes Like Diamonds,en,Eyes Like Diamonds,"Passionate conservationist Neil Waters embarks on a decade-long search through Tasmania’s wilderness to prove the Tasmanian Tiger still exists. Once celebrated but now ridiculed, his quest becomes a moving story of belief, science, redemption, and the ethics of extinction.",0.0214,/ysDxvN8YioOMbHKyFoOdTBlrPvD.jpg,2026-04-17,False,False,0.0,0
False,/dalBeY7kPpnp3WjIc3Syuf4MFUM.jpg,[18],1691510,Anna by the Window,en,Anna by the Window,A filmic portrait of 24 hours in the life of an aimless teen boy as he avoids his overbearing artist father and AI startup founder brother.,0.0143,/vtMsUn5gvS3qSq6et0901ywY9Yr.jpg,2026-07-04,False,False,0.0,0
False,,[],1699069,The Unrottable Woman,ko,썩지 않는 여자,,0.0264,/wZ7PkMjh811SM9x0Dy4gXAl2N9H.jpg,2026-07-06,False,False,0.0,0
False,,"[27, 18]",1721622,A Shadow in the Corner of the Room,en,A Shadow in the Corner of the Room,"Down-on-her-luck nurse, Avery, dismisses a care home resident's warnings of a shadowy presence as dementia...until it begins to turn its attention to her.",0.0535,/AqiK47Iy97Wi4oF9rgayAyrhi3X.jpg,2026-07-17,False,False,0.0,0
False,/f8U1hm6RGkvlC1y8AL6w7jPqggx.jpg,[],1711422,The Bitches,fr,Les Chiennes,"On a journey through heartbreak, in search of transformation. The film is built through friendship: each person helps in their own way, searches for the story, translates the words into their own language, sings Emily Dickinson, joyfully mends the dress of sorrow.",0.0143,,2026-07-09,False,False,0.0,0
False,,[],1711091,O rio sobe a serra,en,O rio sobe a serra,The river goes up the mountain,0.0168,/3ch7azcq6rCZXHCe7FV7XHjPo1v.jpg,2026-07-17,False,False,0.0,0
False,,[18],1710239,If We Ever Make It To Someday,en,If We Ever Make It To Someday,"Law student Cassian, can't seem to let go of his high school sweetheart, Victoria, who seems to have moved on without him. And there's this mystery girl that lingers in his mind like perfume in an old house. With the pressure of the future and the state of the world weighing heavily on him, how will Cassian confront everything he's trying to run from?",0.0535,/hXfcbCLDHq5rqu41BWArZ2CZBiI.jpg,2026-07-07,False,False,0.0,0
False,,[],1708823,Ramón Vázquez,es,Ramón Vázquez,"His name is Ramón Vázquez. He comes from La Pampa and wants to reach Soto, near Córdoba, to reunite with his father. He has not seen him in thirty years. The difficult journey gives rise to a series of encounters on the threshold. And the light blinds.",0.0261,,2026-07-10,False,False,0.0,0
False,,[99],1708592,Chants fantômes,fr,Chants fantômes,"This film-poem is composed of visual and sonic fragments in which landscapes, everyday gestures and distorted songs weave an inventory of loss. Between silence and vertigo, the past resurfaces. Pain, resistance and beauty persist within the absences carved out by colonialism.",0.0239,,2026-07-08,False,False,0.0,0
False,/j6ZGzkCFFXEa7dFkrjniKs53JuQ.jpg,"[10751, 18]",1707515,BIRTH,fr,BIRTH,,0.0261,/1rqJ3l5ar4TLzHdG62V41BNRuuG.jpg,2026-07-05,False,False,0.0,0
False,/aHaqZpOL7UyVu0nKqp3SMz0o2E1.jpg,"[16, 18, 10752]",12477,Grave of the Fireflies,ja,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.0143,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,1988-04-16,False,False,8.439,6571
False,,[],1721878,"¡Más que rápido,Volando!",pt,"¡Más que rápido,Volando!",,0.1229,,2026-07-07,False,False,0.0,0
False,,[],1721824,姫野みなみ 姫野さんに罵られたい,ja,姫野みなみ 姫野さんに罵られたい,,0.1464,,2026-07-04,False,False,0.0,0
False,,[],1717065,Dëmm,wo,Dëmm,"Haunted by the death of her mother, a young woman drifting through Dakar crosses paths with a secretive sisterhood of soul-eating women — the dëmm — triggering a mysterious metamorphosis that forces her to confront loss and identity.",0.0362,,2026-07-04,False,False,0.0,0
