adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/wKPevTkODWTjWf4xWGkrXGbg9Xi.jpg,"[35, 10749, 18]",1283671,Peak Everything,fr,Amour Apocalypse,"Adam is a kind-hearted kennel-owner. Hypersensitive and borderline depressed, Adam orders a therapeutic solar lamp. Through the lamp’s supplier's technical support line, he meets Tina, a radiant woman with a voice that soothes all of his worries. This unexpected encounter changes everything: Earth trembles, and hearts explode… It's love!",1.2058,/6aq7flJkxR8HStDrSc95lcDe84Q.jpg,2025-08-08,False,False,6.2,10
False,/302FswmkEMEVp7lSBjBLs1oIFZm.jpg,"[80, 18]",1310573,Barrio Triste,en,Barrio Triste,"On the outskirts of Medellín, Colombia in the late 1980s, local residents report strange lights descending from the sky. When a reporter arrives to investigate, a ragtag group of teens from a lawless neighbourhood storm the scene and steal his camera. In the hands of its new owners, the device records a mesmerising plunge into their frantic existence.",1.5548,/w2zymRakHhwKUnRCLPKrBiL8inL.jpg,2026-07-10,False,False,0.0,0
False,/yf7OJzxWAg0LRFUMyp0Jpa2sRKY.jpg,[99],1400731,André Is an Idiot,en,André Is an Idiot,"André, a brilliant idiot, is dying because he didn’t get a colonoscopy. His sobering diagnosis, complete irreverence, and insatiable curiosity, send him on an unexpected journey learning how to die happily and ridiculously without losing his sense of humor.",1.1806,/lUDoDeCyobKik81PWUrBWOEV0qt.jpg,2026-02-06,False,False,6.4,5
False,/i6ibBQQqL0HNdkIxQxV8xYiBb1M.jpg,"[878, 53]",1672375,Anfa 8,ku,Anfa 8,"In the city of Soli, ruled by Anfa 8, where night is eternal, Horus hunts a renegade cult of solar worshippers who are desperately searching for the sun.",1.1141,/iUCDAnMUWpmNsCnWqpOGM1syFpE.jpg,2026-07-16,False,False,0.0,0
False,/sfTT1Bln5IGbEXfFnBUUMwTaMyR.jpg,[18],1322787,We'll Find Happiness,fr,On sera heureux,"Saad, a young Moroccan illegal immigrant, is planning a perilous journey to Canada with Reza, his Iranian lover. In Montreal, Saad is called upon to save his beloved from certain deportation to Iran, where inevitable punishment awaits.",1.5454,/mMjRfPTsdMrPEzRDTxWy7M4cVUK.jpg,2025-11-07,False,False,6.7,6
False,/3NcTGBFQnGpUUvfloymFiTaejZA.jpg,[18],95597,Black Girl,fr,La Noire de...,"Eager to find a better life abroad, a Senegalese woman becomes a mere governess to a family in southern France, suffering from discrimination and marginalization.",1.1138,/hYYAk9I9KkscSr8DC30KyDjzsVu.jpg,1966-03-17,False,False,7.223,175
False,,[35],962772,Strawberry Fields Forever,fr,Un champ de fraises pour l’éternité,The year-round residents in a lakeside campsite have to leave because of a sale.,1.1232,/mbGLiN85NAhNwFkiafaWbglhixb.jpg,2026-07-01,False,False,0.0,0
False,/oJXxxTpyEQyu0QOt3lCq6Ej5g5G.jpg,[18],1149764,Sukkwan Island,en,Sukkwan Island,"In an effort to reconnect with his estranged father, 13-year-old Roy agrees to spend a formative year of adventure on the remote Sukkwan Island deep in the Norwegian fjords. What starts as a chance to rebuild their relationship quickly descends into a test of survival as they face the harsh realities of their environment and confront their unresolved turmoil.",1.0522,/uu2MUD6vCJ6MN2BhcWPVysSND7V.jpg,2026-04-29,False,False,4.5,4
False,,"[35, 10749, 10770]",1592343,O Little Christmas Market,en,O Little Christmas Market,An artist's fights to saves her town's beloved Christmas market from a developer but a budding romance with the architect tied to the deal may help bring about a Christmas miracle.,1.4079,/7iWOlFJOsMDPUHWLrmg6v5ZPUiF.jpg,2026-07-11,False,False,0.0,0
False,/vOBjs6laaX6APuOH0KVweAU4vkd.jpg,"[18, 10749]",1303657,Allegro Pastell,de,Allegro Pastell,"In the summer of 2018, novelist Tanja Arnheim and web designer Jerome Daimler have a seemingly ideal long-distance relationship in the heat of Berlin, the idyll of an inherited bungalow in the Hessian Main Valley and many train journeys in between. But the carefully cultivated balance of trust and detachment between the two hyper-reflective millennials is shaken when Tanja realizes on the night of her thirtieth birthday that the relationship could become existential.",0.9596,/vSjTGafv8OosVEIFzz18pq3inch.jpg,2026-04-16,False,False,8.0,3
False,/tpAkAsKJfL7olmdIlBxiLIvOsPy.jpg,"[28, 35, 80, 18]",11048,The Knock Out Cop,it,Piedone lo sbirro,Inspector “Flatfoot” Rizzo investigates crime and corruption in Naples.,1.0463,/cAwumFuN4fi9At4cBfmQ25WjMhY.jpg,1973-10-25,False,False,6.476,191
