adult,backdrop_path,id,title,original_title,overview,poster_path,media_type,original_language,genre_ids,popularity,release_date,softcore,video,vote_average,vote_count,name,original_name,first_air_date,origin_country,gender,known_for_department,profile_path
False,/tRHrhYfZtxJBKQqNnAWrxJFndp9.jpg,1606362,Divine Punishment,Castigo divino,"At 35, Pedro is completely antisocial, ruthless, and close to being a psychopath. He works as a nurse in a hospital, making life miserable for his coworkers, dealing drugs, and running illegal poker games. One day, a mysterious patient he always argues with dies beside him and leaves him a magical book that turns him into a kind of angel with supernatural powers. At first, he uses his powers for his own benefit, but he starts to realize that helping others isn’t so bad after all.",/wo3x9xRInorlahmeoYDCuOH7SOS.jpg,movie,es,"[35, 14]",1.0503,2026-02-13,False,False,5.286,7,,,,,,,
False,/kOUV5WbisWMg56d8eB45ZHEVxYq.jpg,1151272,Sirāt,Sirāt,"A man and his son arrive at a rave lost in the mountains of Morocco. They are looking for Marina, their daughter and sister, who disappeared months ago at another rave. Driven by fate, they decide to follow a group of ravers in search of one last party, in hopes Marina will be there.",/bzBtsLi17rK4G6kDvOXfUZfAhca.jpg,movie,es,"[18, 53]",6.3859,2025-06-06,False,False,6.857,689,,,,,,,
False,/srJS8SXh8l0cPwUQzM261Xp4ko3.jpg,325001,,,"An innovative dating experiment reality show that breaks away from the conventions of traditional dating programs. Unfamiliar men and women are placed in extreme and controlled environments, facing unexpected experiments such as blind dates in bed and romances in isolation. Through unpredictable situations, the show dynamically captures the participants' raw, instinctive emotions and the realistic changes in their relationships.",/2rfdldWqk1PpdrBfik5Ar0Wp8rH.jpg,tv,ko,[10764],8.3643,,False,True,7.333,3,The Love Lab,연애실험실,2026-06-17,['KR'],,,
False,/6WqqEjiycNvDLjbEClM1zCwIbDD.jpg,1100988,28 Years Later,28 Years Later,"Twenty-eight years after the Rage virus outbreak, a heavily-defended island survives connected to the mainland by a single causeway. When one of the group leaves the island into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",/n5FygjEppOvac6yEaowi26nTyw3.jpg,movie,en,"[27, 53, 878]",13.3339,2025-06-18,False,False,6.611,2623,,,,,,,
False,/6t9nSqZpD1mlT9DLugyZNmC3SsQ.jpg,1129104,Flavia,Flavia,"The adventures of 11-year-old Flavia de Luce, who is both an amateur detective and a master poisoner. When she discovers a dead body in her family’s decaying British manor house and her father is accused of the murder, Flavia launches her own investigation to uncover family secrets and bring the true murderer to justice.",/xwm7TGTmQcM2PkVvMxTjpYYk600.jpg,movie,en,"[10751, 12, 9648, 35]",12.1578,2026-04-12,False,False,6.2,6,,,,,,,
False,/danN2NzJTMouaBEkDWTnyDjDxUt.jpg,103540,,,"Percy Jackson is on a dangerous quest. Outrunning monsters and outwitting gods, he must journey across America to return Zeus's master bolt and stop an all-out war. With the help of his friends Annabeth and Grover, Percy's journey will lead him closer to the answers he seeks: how to fit into a world where he feels out of place, and who he's destined to be.",/40eFcTzZier3DWLqldsP5VHxeoD.jpg,tv,en,"[10759, 10765, 18, 10751]",22.11,,False,True,7.286,777,Percy Jackson and the Olympians,Percy Jackson and the Olympians,2023-12-19,['US'],,,
False,/uEn2sZNXKlFLTZzOVYSP60mCFcz.jpg,1373956,Die Ältern,Die Ältern,"A writer in a midlife and marital crisis, overwhelmed by his growing children and unable to accept change, meets another woman. A bit half-hearted and unintentionally funny, he tries to do something different.",/kGnAfwyuJqAHHisR5IJHVmrvCR4.jpg,movie,de,"[35, 10749]",2.1474,2026-02-12,False,False,7.8,4,,,,,,,
False,/jnzoh5qoxRLFRIQAxnl6D3RStPC.jpg,91363,,,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments.",/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg,tv,en,"[16, 10759, 10765]",38.3874,,False,True,8.046,4642,What If...?,What If...?,2021-08-11,['US'],,,
False,/vvE7zc2aie3ozZcy5xYbg5QTFrF.jpg,1468683,Heartstopper Forever,Heartstopper Forever,"It's a new school year for the Truham-Higgs gang. As Nick and Charlie's relationship deepens, their thoughts turn to life after the last bell rings.",/r4lVJVO1BeBb11cBcXBdbHc9e9k.jpg,movie,en,"[18, 10749]",2.534,2026-07-16,False,False,0.0,0,,,,,,,
False,/mceCXNTny6a5F3rQgShLoyARw4l.jpg,96648,,,"As humans turn into savage monsters and the world plunges into terror, a handful of survivors fight for their lives — and to hold on to their humanity.",/7rNWciOcHOH97XIeS1KFuMmjyky.jpg,tv,ko,"[10765, 10759]",82.9151,,False,True,8.229,1575,Sweet Home,스위트홈,2020-12-18,['KR'],,,
False,/x2jNLrYw1s9i6kihEJqsBQgs9nR.jpg,62650,,,"An emotional thrill ride through the day-to-day chaos of the city's most explosive hospital and the courageous team of doctors who hold it together. They will tackle unique new cases inspired by topical events, forging fiery relationships in the pulse-pounding pandemonium of the emergency room.",/9eym662FRJJb9wdgCiDKPDciZzf.jpg,tv,en,[18],63.6012,,False,True,8.3,1254,Chicago Med,Chicago Med,2015-11-17,['US'],,,
False,/8b5yXvmWSOl64Abk1wMYhzs4OnP.jpg,211089,,,General Lu Lingfeng and Detective Su Wuming uncover supernatural mysteries and hidden conspiracies threatening the empire during Emperor Xuanzong’s reign.,/nyhBueT07zQS7wWLYFDNO8LdO3N.jpg,tv,zh,"[9648, 80, 18, 10759]",33.9883,,False,True,8.3,51,Strange Tales of Tang Dynasty,唐朝诡事录,2022-09-27,['CN'],,,
False,/xkNnQ3IGGRQcXnl1zTb5H6Vb3SP.jpg,88046,,,"Year 198 of the Solar Era in Tokyo, special fire brigades are fighting against a phenomenon called spontaneous human combustion where humans beings are turned into living infernos called ""Infernals"". While the Infernals are first generation cases of spontaneous human combustion, later generations possess the ability to manipulate flames while retaining human form. Shinra Kusakabe, a youth who gained the nickname Devil's Footprints for his ability to ignite his feet at will, joins the Special Fire Force Company 8 which composes of other flames users as they work to extinguish any Infernals they encounter. As a faction that is creating Infernals appears, Shira begins to uncover the truth behind a mysterious fire that caused the death of his family twelve years ago.",/96jrp8XIEPKC7xHhbkpWLD15oYW.jpg,tv,ja,"[16, 10759, 10765, 35]",9.517,,False,True,8.3,639,Fire Force,炎炎ノ消防隊,2019-07-05,['JP'],,,
False,/pMBNGBR3ztRhDqRuzBJXkJM62p.jpg,1219548,The Physician II,Der Medicus II,"1050 AD: Robert Cole returns to England to bring the medical light of the Orient to his countrymen. But he fails because of the intrigues of the established London doctors, who feel threatened by the new knowledge. And it is not only the human body that is full of seemingly impenetrable secrets, the soul also holds its own mysteries.",/yU6ybmt1CSdkVBTJJsRYz5xnB4q.jpg,movie,de,"[12, 9648, 18]",4.8803,2025-12-25,False,False,6.403,36,,,,,,,
False,/4TJG9k0u1WZfs9iwhLpHshnryaR.jpg,128995,,,"Yumi is a 30-year old, ordinary woman who struggles with expressing her feelings. Told from the perspective of the many brain cells in her head, she experiences growth in both her love life, her career, and finds happiness in the small joys of everyday life.",/wb0ysW1H4bjceY551Dh4VW2jOzF.jpg,tv,ko,"[35, 18]",10.2107,,False,True,7.935,69,Yumi's Cells,유미의 세포들,2021-09-17,['KR'],,,
False,/2MGgEXwUb9ZLQ5XUwy8mFj0FS9V.jpg,1598525,Férias em Pânico (A aventura começa aqui),Férias em Pânico (A aventura começa aqui),,/eDxu2W59hZearBQDXo6vpJG6COL.jpg,movie,pt,"[28, 14, 80, 9648]",0.4305,2026-01-22,False,True,10.0,1,,,,,,,
