adult,backdrop_path,id,title,original_title,overview,poster_path,media_type,original_language,genre_ids,popularity,release_date,softcore,video,vote_average,vote_count,name,original_name,first_air_date,origin_country,gender,known_for_department,profile_path
False,/1ZwcLnQMFvoAEbnGOsXJplgic6.jpg,858035,Klara and the Sun,Klara and the Sun,"When Klara, an Artificial Friend who wants nothing more than to find the perfect home, meets Josie, each immediately senses a kindred spirit in the other. Josie has a fraught relationship with her mother and they've suffered great loss, but Klara's innocent wonder and unwavering loyalty begin to heal the family and bring light to Josie's complicated world.",/xqovj2p6HRsgHxN81qYAYF4StgM.jpg,movie,en,"[878, 18, 35]",7.2061,2026-10-21,False,False,0.0,0,,,,,,,
False,/dQCKc5NKeKOGAQusk2FdctGB9k5.jpg,71915,,,"Aziraphale and Crowley, of Heaven and Hell respectively, have grown rather fond of the Earth. So it's terrible news that it's about to end. The armies of Good and Evil are amassing. The Four Horsemen are ready to ride. Everything is going according to the Divine Plan...except that someone seems to have misplaced the Antichrist. Can our heroes find him and stop Armageddon before it's too late?",/nO68XVx5of8hlBwEOGOkPC8Mveu.jpg,tv,en,"[35, 18, 10765]",22.7814,,False,True,8.034,2344,Good Omens,Good Omens,2019-05-31,['GB'],,,
False,/20OP4f0xDbPttORm9OyIbNu3cNN.jpg,289892,,,"In Hell, imp Blitzø (the 'o' is silent) runs an assassin business targeting the world of the living, using a spell book borrowed from a prince of the underworld. With employees Moxxie, Millie, and Loona, they attempt to survive each other while keeping business afloat.",/dgtuBsG2F4cGiumtHBKDru7PW9j.jpg,tv,en,"[16, 35, 18, 10765]",17.475,,False,True,7.639,90,Helluva Boss,Helluva Boss,2020-10-31,['US'],,,
False,/x5louSTAZSN7Frghi1aiQaz4OJw.jpg,321623,,,A group of friends in Hong Kong's elite boating scene find their summer getaway descending into betrayal and power plays as hidden agendas surface.,/kPz9M2hbZVRue9bbZAHKB9RrXox.jpg,tv,en,[18],20.7919,,False,True,10.0,1,The Season,The Season,2026-06-17,"['HK', 'US']",,,
False,/vHuoq8HAmBFge8aiiyhHVVtmQr3.jpg,100757,,,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",/ovDgO2LPfwdVRfvScAqo9aMiIW.jpg,tv,en,"[10759, 18, 9648]",25.2426,,False,True,8.271,1188,Outer Banks,Outer Banks,2020-04-15,['US'],,,
False,/sItIskd5xpiE64bBWYwZintkGf3.jpg,541671,Ballerina,Ballerina,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg,movie,en,"[28, 53, 80]",21.347,2025-06-04,False,False,7.258,2694,,,,,,,
False,/uz4AQIFsC24qVoMrYRISLDqMHze.jpg,1365378,The American Dream,Le rêve américain,"No one would have bet on Jérémy, stuck behind the counter of a video store, or on Bouna, who cleans airports. With no money, no connections, and painfully poor English, who could have predicted they’d one day become big-name agents in the NBA? What they lack in experience, they will make up for in audacity, while remaining true to their one credo, doing business with a human touch. Scouting raw talent while improvising their way up, they’ll fake it until they make it – chasing their American Dream and landing multi-million-dollar deals.",/hQagR2IJiVN2FBFWmuz7XOQdVOF.jpg,movie,fr,[35],5.5303,2026-02-18,False,False,7.4,111,,,,,,,
False,/ctUt397YPPr7CeN4xijFXj9TREO.jpg,1391074,Busboys,Busboys,"A pair of idiot friends believe that if they become waiters, all of their problems will be solved. They aren't entirely wrong, but they aren't entirely right.",/z7aBU98usPaaFymldN6IcYRsHZr.jpg,movie,en,[35],3.4835,2026-04-17,False,False,4.3,12,,,,,,,
False,/mJDCrEFKHUqoZe4xyI8CE47pw7P.jpg,1101383,The End of Oak Street,The End of Oak Street,"After a mysterious cosmic event rips Oak Street from suburbia and transports their neighborhood to someplace unknown, the Platt family soon discovers that their very survival depends on them sticking together as they navigate their now unrecognizable surroundings.",/60bRdW7JTXTaSMFgLHjcoS1fXHh.jpg,movie,en,"[878, 9648, 53]",10.2032,2026-08-12,False,False,0.0,0,,,,,,,
False,/zhsEnDNCQX5dlI2wbKzV90pV0B9.jpg,127529,,,"Faced with ruthless foes with a violent thirst, two young boxers band together — risking life and limb to bring justice and protect their loved ones.",/uSQzD7TXsL96J5ggDrJFdUs8uXU.jpg,tv,ko,"[18, 10759, 80]",60.0894,,False,True,8.496,730,Bloodhounds,사냥개들,2023-06-09,['KR'],,,
False,/hpXBJxLD2SEf8l2CspmSeiHrBKX.jpg,1062722,Frankenstein,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",/g4JtvGlQO7DByTI6frUobqvSL3R.jpg,movie,en,"[18, 14, 27]",17.9549,2025-10-17,False,False,7.638,3534,,,,,,,
False,/gfRm3ITRJuFm8n6gRJ0L2VLrL5w.jpg,847742,Drishyam 3,ദൃശ്യം 3,"To protect his family and their dark secret, Georgekutty faces an organized new threat. As walls close in and cracks widen, how much more is he willing to sacrifice ?",/456FlpiU1iOBnaOxSd783QhZKWw.jpg,movie,ml,"[80, 18, 53]",26.2915,2026-05-21,False,False,7.25,10,,,,,,,
False,/81T9IcPK3bF2RbJyKURa4rF4sxM.jpg,1235746,Dead of Winter,Dead of Winter,"A widowed fisherwoman, travelling alone through snowbound northern Minnesota, interrupts the kidnapping of a teenage girl. Hours from the nearest town and with no phone service, she realizes that she is the young girl's only hope.",/5DcrN62sGAiRJxt8rXSRlSRLwIE.jpg,movie,en,"[53, 28]",8.4556,2025-09-23,False,False,6.374,380,,,,,,,
False,/bicMU6xVD5deVyKP2azpyx7xkmH.jpg,1263337,Heart of the Beast,Heart of the Beast,"After a harrowing plane crash, Special Forces officer James Belmont and his combat dog, Odin, find themselves stranded deep in the Alaskan wilderness. Together, they are forced into a brutal fight for survival against the elements.",/1ApfSA8JTqeha3GTFEY8syV4auq.jpg,movie,en,"[28, 12]",7.9639,2026-09-23,False,False,0.0,0,,,,,,,
False,/zZrWrDrRMKtJMcJFtozU4x4z9nd.jpg,1433367,One Night Only,One Night Only,Two love-starved strangers crash into each other on the one night of the year when single people are allowed to have sex.,/gzy1L7wqkFRznQPv4WrdPQ9bCJ8.jpg,movie,en,"[35, 10749]",2.1142,2026-08-05,False,False,0.0,0,,,,,,,
False,/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,1241982,Moana 2,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,movie,en,"[12, 16, 35, 10751, 14]",27.1242,2024-11-21,False,False,7.006,3112,,,,,,,
