adult,backdrop_path,id,title,original_title,overview,poster_path,media_type,original_language,genre_ids,popularity,release_date,softcore,video,vote_average,vote_count,name,original_name,first_air_date,origin_country,gender,known_for_department,profile_path
False,/ujacltSODEsLTLTXUvReoyjomiA.jpg,243236,,,"Since relocation to Chek Lap Kok in 1998, passenger traffic at Hong Kong International Airport has increased threefold in twenty-five years. And Yeung Sheung-wai, who started out as a clerk, has been promoted to IAC Duty Manager. He is tasked with overseeing the operations of the airport. Sheung-wai also has a contingent of amicable partners, including his assistant-cum-admirer Fong Ho-yee, Lui Chi-shan – who handles airport passenger services – Chan Kit – who takes care of aviation security – and Lee Sing-cheung, who is responsible for apron services. They collaborate to assist in dealing with all kinds of incidents that take place at the airport. Sheung-wai keeps in touch with his ex-wife Cheung Yeuk-ling, Metro Harbour Airlines Airport Supervisor. Actually, they still think of each other after their divorce. The duo’s relationship is rekindled when airline captain Kwok Kai-kwong and flight attendant Ko Nga-man turn up.",/ylt1gbKqAiVaS0mYt3GvbjMaJkp.jpg,tv,cn,[18],14.5891,,False,True,5.0,2,The Airport Diary,飛常日誌,2024-01-15,['HK'],,,
False,/dWhXUMlQuSoASikDLbUfKyPtGeB.jpg,306121,,,"When world-renowned wine critic Toyotaka Kanzaki passes away, he leaves behind an enviable collection. The will promises his estate to whoever correctly guesses the brand and year of the 12 greatest wines he selected, and the legendary wine that stands atop them all, ""Drops of God."" The challengers are Toyotaka's son, Shizuku Kanzaki, and a young critic, Issei Tomine, who was adopted by Toyotaka.",/e0HIphKTbM0YjWCASdCsjYtESHG.jpg,tv,ja,"[16, 18, 9648]",6.1651,,False,True,6.3,3,The Drops of God,神の雫,2026-04-10,['JP'],,,
False,/2iqLoDsatVBwAvHTEzI71p3qBe9.jpg,1662317,The Crash,The Crash,"A teen slams her car into a building, killing her boyfriend and his friend. What seems like a tragic accident becomes a murder case.",/veskdPx4YUTmkrFrTs6zRJ8VV4E.jpg,movie,en,"[99, 80]",27.7113,2026-05-14,False,False,6.929,126,,,,,,,
False,/vQw05sfFEVCVpysDAU5C8NU1gMO.jpg,1061798,Jim Queen,Jim Queen,"When Heterosis - a mysterious virus that turns gay men straight sweeps through the Parisian gay scene, Jim, the six packed sovereign of the Gym Queens, goes from Pride royalty to social outcast. With only Lucien, a freshly-out twink with more heart than abs, still by his side, Jim must race to find a cure before the disease erases the community that once worshipped him.",/nvmGrOzolKlW1z90rLudSjPm9cG.jpg,movie,fr,"[16, 35]",6.0909,2026-06-17,False,False,8.031,33,,,,,,,
False,/fiRDzpcJe7qz3yIR43hdXIE3NHv.jpg,812583,Wake Up Dead Man: A Knives Out Mystery,Wake Up Dead Man: A Knives Out Mystery,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",/qCOGGi8JBVEZMc3DVby8rUivyXz.jpg,movie,en,"[53, 9648, 35]",12.0432,2025-11-26,False,False,7.209,2578,,,,,,,
False,/dL5mViE22ZHnhrUU9wlklzIU4Iy.jpg,287011,,,"A work-obsessed cosmetics CEO and a top home-shopping host struggling with insomnia cross paths, and through an unexpected romance, begin to heal the emptiness in their lives.",/bcnneY1DWQzmwfvsuhGGnwv9KYD.jpg,tv,ko,"[35, 18]",16.2529,,False,True,8.36,57,Sold Out on You,오늘도 매진했습니다,2026-04-22,['KR'],,,
False,/6OAvlyDxLhfxxPB9Mn9w43EaR3N.jpg,226688,,,Beginner blader Robin Kazami joins up with influencer Multi Nana-iro and former champion Jaxon Cross to form this unlikely trio - ready to climb to the top of The X and win the title of champion blader!,/66wkm14IWdrY5LaKZDAbkD2T9Jt.jpg,tv,ja,"[16, 10759, 35, 10765, 10762]",26.0442,,False,True,6.6,11,Beyblade X,BEYBLADE X,2023-10-06,['JP'],,,
False,/h0CQ36rm9cSLznve5ocCDtYlnwN.jpg,195670,,,"Teen matchmaker Kitty Song Covey thinks she knows everything there is to know about love. But when she moves halfway across the world to reunite with her long-distance boyfriend, she'll soon realise that relationships are a lot more complicated when it's your heart on the line.",/hxvTdKAwv27PUfpXOQp6AwWr6V.jpg,tv,en,"[35, 18]",47.0563,,False,True,8.1,678,"XO, Kitty","XO, Kitty",2023-05-18,['US'],,,
False,/4QRcFqAJq0Jpi5jfQ2ExxVJtWCv.jpg,316424,,,"Natsuki Haibara thought his high school years were a complete failure—until he suddenly wakes up as a freshman again, armed with all he learned in college. Determined to rewrite his school days, he joins the popular crowd, makes friends he never had, and grows closer to his crush. But second chances aren’t as easy as hitting “Restart.” Can Natsuki turn his regrets into a rainbow-colored youth?!",/gle4UrLJK0s8YkkJEb7XUtdnTTy.jpg,tv,ja,"[16, 35, 18]",6.0859,,False,True,5.8,6,Haibara's Teenage New Game+,灰原くんの強くて青春ニューゲーム,2026-04-03,['JP'],,,
False,/bbAR4qKxjnjyKAt4YMrL725Mtfw.jpg,124101,,,"Explore a dark mentorship that forms between Deborah Vance, a legendary Las Vegas comedian, and an entitled, outcast 25-year-old.",/ca5XiEFgyGsI38QT3wEKa1QVGX.jpg,tv,en,"[35, 18]",39.7397,,False,True,7.468,363,Hacks,Hacks,2021-05-13,['US'],,,
False,/dQCKc5NKeKOGAQusk2FdctGB9k5.jpg,71915,,,"Aziraphale and Crowley, of Heaven and Hell respectively, have grown rather fond of the Earth. So it's terrible news that it's about to end. The armies of Good and Evil are amassing. The Four Horsemen are ready to ride. Everything is going according to the Divine Plan...except that someone seems to have misplaced the Antichrist. Can our heroes find him and stop Armageddon before it's too late?",/nO68XVx5of8hlBwEOGOkPC8Mveu.jpg,tv,en,"[35, 18, 10765]",22.7814,,False,True,8.034,2344,Good Omens,Good Omens,2019-05-31,['GB'],,,
False,/tc7canPSAn2X14hYi6Rl3gZm1o4.jpg,549,,,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",/haJ9eHytVO3H3JooMJG1DiWwDNm.jpg,tv,en,"[80, 18]",197.2882,,False,True,7.298,693,Law & Order,Law & Order,1990-09-13,['US'],,,
False,/sp1uF4oqusseJQ7yP417LSUAwE2.jpg,236534,,,,/k6q3k6lUvjbYdgQyqIGVaY9VlAm.jpg,tv,zh,"[16, 10765, 10759]",24.4605,,False,True,8.1,13,Tales of Herding Gods,牧神记,2024-10-27,['CN'],,,
False,/wQc6l7RaUi7cPMuCTNnYMKCjvUt.jpg,63404,,,"Greg Davies is the Taskmaster, and with the help of his ever-loyal assistant Alex Horne, they will set out to test the wiles, wit, wisdom and skills of five hyper-competitive comedians. Who will be crowned the Taskmaster champion?",/oHLZyN7G7EpXCHxYdpMcuUNCUgS.jpg,tv,en,[35],17.2766,,False,True,8.3,213,Taskmaster,Taskmaster,2015-07-28,['GB'],,,
False,/2gAStVyyv9C3BSEKhP0a1aM3Qy9.jpg,426063,Nosferatu,Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,movie,en,"[27, 14]",10.5717,2024-12-25,False,False,6.714,3707,,,,,,,
False,/fJwX9iURf4boUTJd815aiG0Q3V2.jpg,1300968,The Hunger Games: Sunrise on the Reaping,The Hunger Games: Sunrise on the Reaping,"Return to the world of Panem 24 years before the events of The Hunger Games, starting on the morning of the reaping of the 50th Hunger Games, also known as the Second Quarter Quell.",/ffJaYMtB6v1TrvkyhCOqwqCKm0o.jpg,movie,en,"[878, 28, 12]",5.2849,2026-11-18,False,False,0.0,0,,,,,,,
False,/7CvmnHAVxhDbYE7jPp0PbKunqqs.jpg,127635,,,"Follow Peter Parker, Gwen Stacy and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel and Black Panther to defeat foes like Rhino, Doc Ock and Green Goblin and learn that teamwork is the best way to save the day.",/etO5jDS5WgR4Y1lTyXhQcilJ6u2.jpg,tv,en,"[16, 10762, 10765, 10759]",19.1763,,False,True,7.1,258,Spidey and His Amazing Friends,Spidey and His Amazing Friends,2021-08-06,['US'],,,
False,/a8BmL4edk7tEVgMwjL7ofQ6td2g.jpg,213791,,,"Luo Zheng is at the bottom of the Luo Clan hierarchy, despite his family being the founders of a power refining technique that could instantly defeat any opponent. One night, enraged by unfair treatment from a family steward, Luo Zheng burns the family records. In doing so, the hidden magic in the book engulfs him and Luo Zheng becomes a new skilled fighter. Fleeing his home and despicable clan, Luo Zheng must learn to harness his powers to rescue his younger sister while his own cousins are on his pursuit.",/hLNKpJ8vFFPCGOYAJOnHtEbne3h.jpg,tv,zh,"[16, 10765, 10759, 18]",12.8017,,False,True,8.6,8,Apotheosis,百炼成神,2022-11-04,['CN'],,,
False,/4CSdS9p0AhLhxCo1hGuQINiE2Sa.jpg,2122,,,"Set in Texas, this animated series follows the life of propane salesman Hank Hill, who lives with his overly confident substitute Spanish teacher wife Peggy, wannabe comedian son Bobby, and naive niece Luanne. Hank has conservative views about God, family, and country, but his values and ethics are often challenged by the situations he, his family, and his beer-drinking neighbors/buddies find themselves in.",/e2xyMapmYgv4AuSoSDv9Y4pQlD6.jpg,tv,en,"[16, 35, 10751]",69.9274,,False,True,7.403,672,King of the Hill,King of the Hill,1997-01-12,['US'],,,
False,/8dlna8rRcf5gDCRzEsjtHizpj1X.jpg,1371185,Song Sung Blue,Song Sung Blue,"Based on a true story, two down-on-their-luck musicians form a joyous Neil Diamond tribute band, proving it's never too late to find love and follow your dreams.",/xStmzLprgzqjzfvpBI7uTbcRpwQ.jpg,movie,en,"[10402, 10749, 18]",5.5832,2025-12-15,False,False,7.39,260,,,,,,,
False,/ujUwzNV8ZkOzZonvhhHsc9KOKDf.jpg,1058424,Hope,호프,"In the remote South Korean village of Hope Harbor, police chief Bum-seok and officer Sung-ae are called to investigate a mysterious creature wreaking havoc on the community. But all is not as it seems, and perceptions can be misleading. What begins as ignorance plants the seed of disaster, escalating through human conflict into a tragedy of cosmic proportions.",/1n37BJchWHLiSYQkuFxe5KjB951.jpg,movie,ko,"[878, 9648, 28]",11.4783,2026-07-15,False,False,0.0,0,,,,,,,
False,/8NsOscA4bfKVATaf3ZcWXIUdnjG.jpg,315758,,,Lifelong rivals Ryo and Zen take their office war to a new level—the first one to make the other fall in love wins the ultimate bet.,/4xefC9aXauLtC4z6Q2duH0oeTDn.jpg,tv,ja,[18],7.0878,,False,True,8.143,7,Fake Fact Lips,フェイクファクトリップス,2026-04-24,['JP'],,,
False,/fJwX9iURf4boUTJd815aiG0Q3V2.jpg,1300968,The Hunger Games: Sunrise on the Reaping,The Hunger Games: Sunrise on the Reaping,"Return to the world of Panem 24 years before the events of The Hunger Games, starting on the morning of the reaping of the 50th Hunger Games, also known as the Second Quarter Quell.",/ffJaYMtB6v1TrvkyhCOqwqCKm0o.jpg,movie,en,"[878, 28, 12]",5.2849,2026-11-18,False,False,0.0,0,,,,,,,
False,/7CvmnHAVxhDbYE7jPp0PbKunqqs.jpg,127635,,,"Follow Peter Parker, Gwen Stacy and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel and Black Panther to defeat foes like Rhino, Doc Ock and Green Goblin and learn that teamwork is the best way to save the day.",/etO5jDS5WgR4Y1lTyXhQcilJ6u2.jpg,tv,en,"[16, 10762, 10765, 10759]",19.1763,,False,True,7.1,258,Spidey and His Amazing Friends,Spidey and His Amazing Friends,2021-08-06,['US'],,,
False,/a8BmL4edk7tEVgMwjL7ofQ6td2g.jpg,213791,,,"Luo Zheng is at the bottom of the Luo Clan hierarchy, despite his family being the founders of a power refining technique that could instantly defeat any opponent. One night, enraged by unfair treatment from a family steward, Luo Zheng burns the family records. In doing so, the hidden magic in the book engulfs him and Luo Zheng becomes a new skilled fighter. Fleeing his home and despicable clan, Luo Zheng must learn to harness his powers to rescue his younger sister while his own cousins are on his pursuit.",/hLNKpJ8vFFPCGOYAJOnHtEbne3h.jpg,tv,zh,"[16, 10765, 10759, 18]",12.8017,,False,True,8.6,8,Apotheosis,百炼成神,2022-11-04,['CN'],,,
False,/4CSdS9p0AhLhxCo1hGuQINiE2Sa.jpg,2122,,,"Set in Texas, this animated series follows the life of propane salesman Hank Hill, who lives with his overly confident substitute Spanish teacher wife Peggy, wannabe comedian son Bobby, and naive niece Luanne. Hank has conservative views about God, family, and country, but his values and ethics are often challenged by the situations he, his family, and his beer-drinking neighbors/buddies find themselves in.",/e2xyMapmYgv4AuSoSDv9Y4pQlD6.jpg,tv,en,"[16, 35, 10751]",69.9274,,False,True,7.403,672,King of the Hill,King of the Hill,1997-01-12,['US'],,,
False,/8dlna8rRcf5gDCRzEsjtHizpj1X.jpg,1371185,Song Sung Blue,Song Sung Blue,"Based on a true story, two down-on-their-luck musicians form a joyous Neil Diamond tribute band, proving it's never too late to find love and follow your dreams.",/xStmzLprgzqjzfvpBI7uTbcRpwQ.jpg,movie,en,"[10402, 10749, 18]",5.5832,2025-12-15,False,False,7.39,260,,,,,,,
False,/ujUwzNV8ZkOzZonvhhHsc9KOKDf.jpg,1058424,Hope,호프,"In the remote South Korean village of Hope Harbor, police chief Bum-seok and officer Sung-ae are called to investigate a mysterious creature wreaking havoc on the community. But all is not as it seems, and perceptions can be misleading. What begins as ignorance plants the seed of disaster, escalating through human conflict into a tragedy of cosmic proportions.",/1n37BJchWHLiSYQkuFxe5KjB951.jpg,movie,ko,"[878, 9648, 28]",11.4783,2026-07-15,False,False,0.0,0,,,,,,,
False,/uV89FqFWiQMrL5Fvwby6nPAf8aE.jpg,292435,,,"A highway accident leads detectives Yan Mi and Sun Xun into a complex serial murder investigation tied to a years-long revenge scheme. As buried secrets and hidden evidence come to light, Yan Mi discovers that the son of his late mentor may be deeply involved in the case.",/b9k5P6CfCogWyD0jueTZ5oehSkX.jpg,tv,zh,"[18, 80]",2.7691,,False,True,0.0,0,Rend Night Regain Light,白夜暗影,2026-06-19,['CN'],,,
