adult,backdrop_path,id,title,original_title,overview,poster_path,media_type,original_language,genre_ids,popularity,release_date,softcore,video,vote_average,vote_count,name,original_name,first_air_date,origin_country,gender,known_for_department,profile_path
False,/vpuPY4UziUCxv7gYYoaZQ3LX7to.jpg,1383731,Protector,Protector,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child.",/icOZpnGuH9YrEaW3wrw5GJaXGih.jpg,movie,en,"[28, 53]",25.2535,2026-02-20,False,False,8.552,373,,,,,,,
False,/6ekykPwvAywJRjFEnUoCFWTO9O3.jpg,278573,,,"In 21st-century Korea under a constitutional monarchy, a chaebol heiress with everything but status tries to take control of her future after crossing paths with a lonely prince with nothing but his title. Together, bound by a contract marriage, they begin a class-defying romance to rewrite destiny.",/nNYwETsj4XxZ4tnouiYCPBQNO2L.jpg,tv,ko,"[35, 18]",30.62,,False,True,8.975,158,Perfect Crown,21세기 대군부인,2026-04-10,['KR'],,,
False,/7mkUu1F2hVUNgz24xO8HPx0D6mK.jpg,224372,,,"A century before the events of Game of Thrones, two unlikely heroes wandered Westeros: a young, naive but courageous knight, Ser Duncan the Tall, and his diminutive squire, Egg. Set in an age when the Targaryen line still holds the Iron Throne and the last dragon has not yet passed from living memory, great destinies, powerful foes, and dangerous exploits await these improbable and incomparable friends.",/k8yARbD9iYn2nRX2HvsopfKDN2r.jpg,tv,en,"[18, 10765, 10759]",39.3781,,False,True,8.453,954,A Knight of the Seven Kingdoms,A Knight of the Seven Kingdoms,2026-01-18,['US'],,,
False,/l1nekhf05HS5OpBr0vRqcD3NxoS.jpg,1103473,KD – The Devil,ಕೆಡಿ - ದಿ ಡೆವಿಲ್,"In the early 1970s, a petty criminal Kaali unwittingly involves himself with underworld thugs, catalyzing events beyond his control.",/nEuEMJrnLBneE9tJlmzbhCFLu95.jpg,movie,kn,"[36, 80, 28, 14]",92.1838,2026-04-30,False,False,7.5,2,,,,,,,
False,/dStkVJ2dQPe2Ak9X4McM1606vNn.jpg,239901,,,"In the legendary Nine Cities, noblewoman Fan Yun and cunning lord Qi Zheng join forces to overcome a looming crisis. As they fight for the people's welfare, their bond deepens into friendship and love to bring peace and prosperity to the realm.",/2BplPHTd5BIPKXRawey3Q2hO3Iu.jpg,tv,zh,"[18, 35]",14.887,,False,True,8.0,2,The Legend of Rosy Clouds,云秀行,2026-06-20,['CN'],,,
False,/8wIaBCeGv3UhIn5CJOWQGHT1Cif.jpg,1242265,Fuze,Fuze,An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,/oMFdQE5hMJ9JjhNORegwTo0GKmh.jpg,movie,en,"[28, 80, 18, 53]",15.6909,2026-03-23,False,False,6.4,136,,,,,,,
False,/nxOsQE8UrifZpQ9hcZ7xjMHEbmn.jpg,299365,,,"After a powerful conglomerate chairman is betrayed by his children and wakes up in the body of a young soccer player, he uses his business genius and athletic physique to seek ultimate revenge against his family.",/riDCDdOG8Hf7P1PP987dQrmzxrO.jpg,tv,ko,"[18, 10765]",22.8978,,False,True,6.75,6,Reborn Rookie,신입사원 강회장,2026-05-30,['KR'],,,
False,/sGK1f1Y2dnExqpjRnsHpI4ZWqJr.jpg,261471,,,"A professional comedy talk show competition program, the program invites outstanding stand-up artists at home and abroad to share happiness, convey a positive attitude to life and comedy spirit.",/vFJYt5Pi5Pjc3CKU58oonfXRCio.jpg,tv,zh,"[10767, 35]",25.3825,,False,True,5.8,4,Stand-up Comedy,脱口秀和Ta的朋友们,2024-08-20,['CN'],,,
False,/cTCn2EO69SERNfhaezJMoqBom4G.jpg,79481,,,"In a land where no magic is present. A land where the strong make the rules and weak have to obey. A land filled with alluring treasures and beauty, yet also filled with unforeseen danger. Three years ago, Xiao Yan, who had shown talents none had seen in decades, suddenly lost everything. His powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up?",/iHMKgjHAtf77ORPvvJ8kpEQ286s.jpg,tv,zh,"[16, 10759, 10765]",48.2137,,False,True,8.121,58,Fights Break Sphere,斗破苍穹,2017-01-07,['CN'],,,
False,/abqhPVQsEj7hoCiltlDTotgNgwr.jpg,1480387,undertone,undertone,The host of a popular paranormal podcast becomes haunted by terrifying recordings mysteriously sent her way.,/2PFgFMnrdCPXWiZl1PUvky7Mo9D.jpg,movie,en,"[27, 9648]",40.3336,2026-03-12,False,False,6.135,288,,,,,,,
